Code,Year,Deaths - Exposure to forces of nature %,Deaths - Under 5 ,Deaths -  Age: 5-14 years ,Deaths - Age: 15-49 years ,Deaths - Age: 50-69 years,Deaths - Age: 70+ years ,Deaths - No access to handwashing facility ,Deaths - Smoking,Deaths - Secondhand smoke,Deaths - Unsafe water source ,Deaths - Household air pollution from solid fuels ,Deaths - Air pollution ,Deaths Outdoor air pollution,IDDeath
AGO,2009,0.031374761,98464.57332,6556.542542,39408.99321,31939.74954,21582.73458,12330.10384,7844.18095,2808.243466,17988.49551,10227.87885,13461.59601,3354.78,2009AGO
AGO,2010,0.012826646,94086.54385,6496.030917,39814.36825,32512.127,22384.88057,12431.96725,7945.754484,2738.64207,18407.74345,9687.850884,12959.18748,3391.37,2010AGO
AGO,2012,0,85621.05789,6520.623323,41012.82503,34226.50002,24060.0061,11974.38336,8309.634936,2547.546567,18039.91978,8635.910502,12025.31517,3509.8,2012AGO
AGO,2013,0.004760932,81728.88657,6578.17598,41366.48666,34974.02661,24843.90313,11549.87475,8414.5509,2445.32463,17468.06425,8187.183585,11690.99424,3625.01,2013AGO
AGO,2015,0.040266334,74107.28157,6685.462347,41370.61039,36268.99696,25864.07079,10479.67135,8495.388466,2267.92363,15800.17967,7490.416724,10970.34717,3599.86,2015AGO
AGO,1991,0,111093.1475,6223.484278,25793.13867,23535.16336,14412.03641,15039.3825,5813.113375,2518.999686,22364.78321,14281.4369,16285.87265,2118.23,1991AGO
AGO,2017,0.005986734,68155.60491,6902.371097,42805.96163,39020.32413,27471.25995,9735.710078,8810.716924,2143.885505,14656.91821,7129.377633,10728.38312,3724.05,2017AGO
AGO,2005,0,113726.6584,6941.625832,37195.64647,29608.33787,19729.63145,12977.55813,7443.403145,3116.034995,18120.35616,12844.63677,15901.98605,3185.45,2005AGO
AGO,1990,0,109461.2109,6370.791889,26529.62293,23230.59228,14075.62402,14669.0596,5669.806481,2434.581454,21806.29902,14043.36623,15964.10035,2032.26,1990AGO
AGO,1996,0,118862.1794,6808.184352,29674.95022,25834.47076,16492.4444,16048.37947,6481.705743,2839.055418,23808.8323,14912.33567,17262.1237,2474.38,1996AGO
AGO,2016,0.061683058,70554.92606,6797.672682,42167.2241,37596.27563,26646.96902,9879.372938,8628.288562,2197.040111,14814.30563,7266.739066,10757.83185,3612.63,2016AGO
AGO,2007,0.051835209,106877.0253,6740.200591,38306.61797,30547.47705,20383.09942,12738.54788,7638.257827,2999.93741,18118.31752,11550.63968,14757.91542,3330.94,2007AGO
AGO,2014,0,77841.68633,6581.454224,40943.49157,35047.86687,25244.14126,10891.08546,8349.86568,2319.845827,16469.65589,7716.324017,11107.73883,3509.88,2014AGO
AGO,2011,0.067438001,89674.63224,6515.247801,40417.71652,33337.67007,23203.11303,12258.07437,8100.544792,2632.83614,18365.11231,9120.471703,12391.26883,3390.57,2011AGO
AGO,2001,0.02726566,119665.6632,7536.73255,36030.49226,27715.19204,18370.76468,14288.15284,7168.831512,2993.509919,20440.37939,14047.93283,16849.17514,2932.84,2001AGO
AGO,2000,0.028281104,119919.06,7566.208028,35739.71616,27508.54651,18159.95615,15196.82894,7146.192687,3001.404108,22087.21999,14498.15721,17219.66695,2854.73,2000AGO
AGO,1999,0,120348.5234,7984.165802,37049.53768,26995.12251,17776.45034,15411.15052,7019.785223,2973.028911,22489.99063,14676.74439,17343.99073,2799.35,1999AGO
AGO,1992,0,112958.9027,6583.296831,27549.70025,24089.24302,14813.36613,15246.65683,5977.649483,2589.304831,22654.2633,14453.16136,16529.60375,2192.65,1992AGO
AGO,1997,0,119797.7818,7277.210407,32400.39374,26305.35063,16952.05893,15777.61615,6560.128455,2868.447406,23271.9544,14776.41014,17217.16054,2566.9,1997AGO
AGO,1995,0,118591.0559,6778.988973,29176.68643,25580.75305,16094.78762,16429.18308,6513.864398,2818.410296,24560.19286,15039.44615,17316.07021,2401.24,1995AGO
AGO,2002,0.003875745,118278.2457,7145.689356,34880.04511,27794.79228,18590.3577,13604.78872,7108.745112,3004.989239,19228.27946,13696.52967,16534.49183,2968.63,2002AGO
AGO,1994,0,118001.9398,7174.485909,30533.32616,25388.65879,15721.49433,16151.86401,6405.455883,2763.389425,24105.62944,14949.37105,17182.25936,2355.71,1994AGO
AGO,2004,0.013417132,116072.9338,7063.74154,36847.03581,29418.06704,19580.49667,13313.67509,7483.239361,3156.155365,18580.18954,13472.53475,16502.6388,3161.74,2004AGO
AGO,1998,0,121721.258,8874.769547,40629.5776,27160.48004,17479.69655,15750.1911,6975.28024,2958.599035,23118.24542,14937.84351,17523.48119,2717.73,1998AGO
AGO,2006,0,112757.5592,6921.507622,38018.88889,30295.90791,20139.43671,13860.11103,7603.755569,3061.149341,20058.50958,12211.98326,15352.07413,3266.81,2006AGO
AGO,1993,0,117237.7246,8080.99108,34635.02371,25255.96668,15389.30595,15583.9055,6206.338224,2679.788562,23151.76852,14784.78244,16919.84143,2255.13,1993AGO
AGO,2003,0.007243132,117342.7629,7063.266434,35495.27383,28441.61599,19027.66414,13025.24507,7227.426874,3019.345635,18239.37808,13267.10066,16184.93007,3048.48,2003AGO
ALB,2008,0,733.6269418,200.1935029,1686.14098,4156.5913,11112.00493,5.180202545,3209.823755,497.1036612,5.103618907,738.8803059,1454.805857,730.21,2008ALB
ALB,1999,0.005616137,2117.091431,399.4994554,2261.356061,4024.580684,9008.566699,17.37701958,2824.513203,594.2638393,13.00488193,1041.806268,1651.240183,629.68,1999ALB
ALB,1998,0,2080.68637,409.1429127,2280.253643,3998.901113,8728.969964,19.89842014,2784.122253,603.7558426,14.38258511,1085.87854,1684.404653,619.67,1998ALB
ALB,1997,0.005210465,2504.794226,609.6907527,3404.496755,4111.90157,8563.616522,23.41229398,2704.63705,623.3139454,17.33699472,1136.569996,1727.981255,613.38,1997ALB
ALB,1995,0.024507898,2832.04305,396.0842114,1935.716832,3583.035378,7576.099382,31.49598054,2442.308068,640.0474349,26.10835197,1182.102319,1740.547586,580.21,1995ALB
ALB,1993,0,3245.7093,408.5797557,1966.500055,3638.476285,7472.790091,40.68314075,2480.304973,696.0747971,43.78624581,1304.792371,1890.142195,609.17,1993ALB
ALB,1994,0.006164503,3098.268841,404.6633163,1899.125065,3498.048679,7323.851559,38.38592939,2377.562989,657.1539532,53.14651315,1215.52247,1774.624691,581.23,1994ALB
ALB,1992,0.064420391,3340.736005,414.3999531,2045.751659,3740.845361,7535.438408,43.19028148,2549.67171,723.8813611,48.82450206,1361.996449,1971.115037,634.39,1992ALB
ALB,1991,0,3407.803876,420.6525619,2078.313975,3822.496142,7552.080162,44.27507351,2592.060349,741.1124253,51.04275046,1392.734624,2021.316572,654.88,1991ALB
ALB,1990,0,3468.728635,406.154451,1911.171356,3684.576953,7147.705434,42.27687871,2460.273254,707.8604007,50.12576656,1337.654648,1938.678869,626.95,1990ALB
ALB,2001,0,1445.895228,354.7428882,2014.586282,3984.167944,9364.412045,11.70822241,2870.050531,545.5156327,9.12274643,938.4636297,1546.512344,626.39,2001ALB
ALB,2017,0.004623365,464.7289842,93.58873329,1343.965942,4936.33134,14918.20398,4.501301236,4161.156448,592.1159196,4.091663843,736.8814547,1638.57099,919.59,2017ALB
ALB,2000,0,1714.906756,369.931019,2077.391844,3991.076914,9170.884135,14.52824983,2845.78146,571.6098384,11.04585179,994.4790733,1601.176755,626.14,2000ALB
ALB,1996,0.005921879,2574.67207,403.2623247,2007.092656,3759.561442,8144.168705,27.24351758,2595.63016,638.1568744,20.99524329,1174.91985,1754.374294,601.7,1996ALB
