IDCode,Year,Nuclear (% sub energy),Renewables (% sub energy),Fossil fuels (% sub energy)
PER,1982,0,21.259,78.741
PER,1983,0,23.221,76.779
PER,1984,0,23.611,76.389
PER,1985,0,25.713,74.287
PER,1986,0,25.693,74.307
PER,1987,0,25.783,74.217
PER,1988,0,25.325,74.675
PER,1989,0,27.823,72.177
PER,1990,0,28.003,71.997
PER,1991,0,30.973,69.027
PER,1992,0,26.801,73.199
PER,1993,0,29.855,70.145
PER,1994,0,29.642,70.358
PER,1995,0,27.628,72.372
PER,1996,0,27.497,72.503
PER,1997,0,27.073,72.927
PER,1998,0,28.121,71.879
PER,1999,0,28.792,71.208
PER,2000,0,31.123,68.877
PER,2001,0,34.09,65.91
PER,2002,0,33.913,65.963
PER,2003,0,35.136,64.736
PER,2004,0,30.925,68.996
PER,2005,0,30.458,69.491
PER,2006,0,32.689,66.75
PER,2007,0,29.66,69.813
PER,2008,0,26.702,72.682
PER,2009,0,27.015,72.037
PER,2010,0,24.249,74.727
PER,2011,0,22.904,76.123
PER,2012,0,23.024,75.441
PER,2013,0,23.055,75.34
PER,2014,0,22.882,75.626
PER,2015,0,22.662,75.781
PER,2016,0,21.493,77.031
PER,2017,0,26.042,72.427
PER,2018,0,26.842,71.708
PER,2019,0,27.329,71.207
PHL,1965,0,7.899,92.101
PHL,1966,0,7.166,92.834
PHL,1967,0,7.051,92.949
PHL,1968,0,6.39,93.61
PHL,1969,0,6.295,93.705
PHL,1970,0,6.392,93.608
PHL,1971,0,5.147,94.853
PHL,1972,0,5.938,94.062
PHL,1973,0,5.471,94.529
PHL,1974,0,5.072,94.928
PHL,1975,0,5.191,94.809
PHL,1976,0,6.148,93.852
PHL,1977,0,4.311,95.689
PHL,1978,0,5.501,94.499
PHL,1979,0,6.599,93.401
PHL,1980,0,10.625,89.375
PHL,1981,0,14.653,85.347
PHL,1982,0,15.167,84.833
PHL,1983,0,16.272,83.728
PHL,1984,0,21.379,78.621
PHL,1985,0,23.944,76.056
PHL,1986,0,23.776,76.224
PHL,1987,0,19.165,80.835
PHL,1988,0,19.688,80.312
PHL,1989,0,19.304,80.696
PHL,1990,0,18.231,81.769
PHL,1991,0,17.155,82.845
PHL,1992,0,13.747,86.253
PHL,1993,0,14.024,85.976
PHL,1994,0,15.038,84.962
PHL,1995,0,13.705,86.295
PHL,1996,0,13.979,86.021
PHL,1997,0,12.741,87.259
PHL,1998,0,13.183,86.817
PHL,1999,0,17.065,82.935
PHL,2000,0,18.026,81.974
PHL,2001,0,16.419,83.581
PHL,2002,0,16.167,83.833
PHL,2003,0,15.885,84.115
PHL,2004,0,16.296,83.704
PHL,2005,0,15.773,84.222
PHL,2006,0,18.061,81.93
PHL,2007,0,15.883,84
PHL,2008,0,16.73,83.066
PHL,2009,0,16.105,83.167
PHL,2010,0,13.705,85.557
PHL,2011,0,14.876,84.372
PHL,2012,0,14.986,84.054
PHL,2013,0,13.318,85.611
PHL,2014,0,12.525,86.366
PHL,2015,0,12.019,86.837
PHL,2016,0,11.47,87.37
PHL,2017,0,10.966,87.942
PHL,2018,0,10.67,88.236
PHL,2019,0,10.542,88.331
POL,1965,0,0.33,99.67
POL,1966,0,0.328,99.672
POL,1967,0,0.342,99.658
POL,1968,0,0.334,99.666
POL,1969,0,0.265,99.735
POL,1970,0,0.515,99.485
POL,1971,0,0.455,99.545
POL,1972,0,0.436,99.564
POL,1973,0,0.426,99.574
POL,1974,0,0.579,99.421
POL,1975,0,0.501,99.499
POL,1976,0,0.395,99.605
POL,1977,0,0.461,99.539
POL,1978,0,0.437,99.563
POL,1979,0,0.398,99.602
POL,1980,0,0.483,99.517
POL,1981,0,0.496,99.504
POL,1982,0,0.367,99.633
POL,1983,0,0.41,99.59
POL,1984,0,0.34,99.66
POL,1985,0,0.426,99.574
POL,1986,0,0.353,99.647
POL,1987,0,0.331,99.669
POL,1988,0,0.343,99.657
POL,1989,0,0.324,99.676
POL,1990,0,0.338,99.662
POL,1991,0,0.354,99.646
POL,1992,0,0.397,99.603
POL,1993,0,0.38,99.62
POL,1994,0,0.458,99.542
POL,1995,0,0.49,99.51
POL,1996,0,0.493,99.507
POL,1997,0,0.514,99.486
POL,1998,0,0.638,99.362
POL,1999,0,0.604,99.396
POL,2000,0,0.637,99.363
POL,2001,0,0.761,99.239
POL,2002,0,0.759,99.241
POL,2003,0,0.626,99.374
POL,2004,0,0.816,99.184
POL,2005,0,1.029,98.971
POL,2006,0,1.125,98.875
POL,2007,0,1.402,98.598
POL,2008,0,1.998,98.002
POL,2009,0,2.759,97.241
POL,2010,0,3.092,96.908
POL,2011,0,3.6,96.4
POL,2012,0,4.621,95.379
POL,2013,0,4.607,95.393
POL,2014,0,5.369,94.631
POL,2015,0,5.89,94.11
POL,2016,0,5.424,94.576
POL,2017,0,5.626,94.374
POL,2018,0,5.291,94.306
POL,2019,0,6.182,93.263
PRT,1965,0,23.692,76.308
PRT,1966,0,28.417,71.583
PRT,1967,0,27.515,72.485
PRT,1968,0,25.773,74.227
PRT,1969,0,29.011,70.989
PRT,1970,0,21.961,78.039
PRT,1971,0,21.005,78.995
PRT,1972,0,22.045,77.955
PRT,1973,0,20.834,79.166
PRT,1974,0,21.184,78.816
PRT,1975,0,17.653,82.347
PRT,1976,0,13.429,86.571
PRT,1977,0,24.25,75.75
PRT,1978,0,24.938,75.062
PRT,1979,0,24.418,75.582
PRT,1980,0,18.197,81.803
PRT,1981,0,11.803,88.197
PRT,1982,0,14.915,85.085
PRT,1983,0,16.715,83.285
PRT,1984,0,19.325,80.675
PRT,1985,0,21.028,78.972
PRT,1986,0,16.068,83.932
PRT,1987,0,16.823,83.177
PRT,1988,0,20.044,79.956
PRT,1989,0,9.274,90.726
PRT,1990,0,13.923,86.077
PRT,1991,0,13.422,86.578
PRT,1992,0,7.433,92.567
PRT,1993,0,12.371,87.629
PRT,1994,0,14.725,85.275
PRT,1995,0,10.808,89.192
PRT,1996,0,17.706,82.294
PRT,1997,0,15.711,84.289
PRT,1998,0,14.309,85.691
PRT,1999,0,8.518,91.482
PRT,2000,0,12.295,87.705
PRT,2001,0,14.75,85.25
PRT,2002,0,9.099,90.901
PRT,2003,0,16.086,83.914
PRT,2004,0,11.308,88.692
PRT,2005,0,7.504,92.496
PRT,2006,0,14.623,85.377
PRT,2007,0,15.163,84.837
PRT,2008,0,14.195,85.805
PRT,2009,0,17.738,82.262
PRT,2010,0,25.977,74.023
PRT,2011,0,23.118,76.882
PRT,2012,0,20.344,79.656
PRT,2013,0,27.549,72.451
PRT,2014,0,29.067,70.933
PRT,2015,0,23.005,76.995
PRT,2016,0,28.061,71.939
PRT,2017,0,19.909,80.091
PRT,2018,0,25.524,74.476
PRT,2019,0,24.454,75.546
QAT,1965,0,0,100
QAT,1966,0,0,100
QAT,1967,0,0,100
QAT,1968,0,0,100
QAT,1969,0,0,100
QAT,1970,0,0,100
QAT,1971,0,0,100
QAT,1972,0,0,100
QAT,1973,0,0,100
QAT,1974,0,0,100
QAT,1975,0,0,100
QAT,1976,0,0,100
QAT,1977,0,0,100
QAT,1978,0,0,100
QAT,1979,0,0,100
QAT,1980,0,0,100
QAT,1981,0,0,100
QAT,1982,0,0,100
QAT,1983,0,0,100
QAT,1984,0,0,100
QAT,1985,0,0,100
QAT,1986,0,0,100
QAT,1987,0,0,100
QAT,1988,0,0,100
QAT,1989,0,0,100
QAT,1990,0,0,100
QAT,1991,0,0,100
QAT,1992,0,0,100
QAT,1993,0,0,100
QAT,1994,0,0,100
QAT,1995,0,0,100
QAT,1996,0,0,100
QAT,1997,0,0,100
QAT,1998,0,0,100
QAT,1999,0,0,100
QAT,2000,0,0,100
QAT,2001,0,0,100
QAT,2002,0,0,100
QAT,2003,0,0,100
QAT,2004,0,0,100
QAT,2005,0,0,100
QAT,2006,0,0,100
QAT,2007,0,0,100
QAT,2008,0,0,100
QAT,2009,0,0,100
QAT,2010,0,0,100
QAT,2011,0,0.077,99.923
QAT,2012,0,0.068,99.932
QAT,2013,0,0.064,99.936
QAT,2014,0,0.061,99.939
QAT,2015,0,0.054,99.946
QAT,2016,0,0.056,99.944
QAT,2017,0,0.058,99.942
QAT,2018,0,0.055,99.945
QAT,2019,0,0.054,99.946
ROU,1965,0,1.002,98.998
ROU,1966,0,0.968,99.032
ROU,1967,0,1.237,98.763
ROU,1968,0,1.23,98.77
ROU,1969,0,1.519,98.481
ROU,1970,0,1.785,98.215
ROU,1971,0,2.728,97.272
ROU,1972,0,4.232,95.768
ROU,1973,0,3.997,96.003
ROU,1974,0,4.459,95.541
ROU,1975,0,4.516,95.484
ROU,1976,0,3.627,96.373
ROU,1977,0,3.943,96.057
ROU,1978,0,4.159,95.841
ROU,1979,0,4.358,95.642
ROU,1980,0,4.811,95.189
ROU,1981,0,4.838,95.162
ROU,1982,0,4.541,95.459
ROU,1983,0,3.871,96.129
ROU,1984,0,4.4,95.6
ROU,1985,0,4.955,95.045
ROU,1986,0,4.124,95.876
ROU,1987,0,4.123,95.877
ROU,1988,0,5.341,94.659
ROU,1989,0,4.934,95.066
ROU,1990,0,4.324,95.676
ROU,1991,0,6.517,93.483
ROU,1992,0,5.925,94.075
ROU,1993,0,6.656,93.344
ROU,1994,0,7.212,92.788
ROU,1995,0,8.403,91.597
ROU,1996,0.702,7.979,91.319
ROU,1997,2.885,9.361,87.753
ROU,1998,3.103,11.044,85.854
ROU,1999,3.458,12.167,84.376
ROU,2000,3.631,9.836,86.533
ROU,2001,3.56,9.756,86.683
ROU,2002,3.45,10.044,86.506
ROU,2003,3.047,8.237,88.716
ROU,2004,3.307,9.846,86.847
ROU,2005,3.288,11.964,84.749
ROU,2006,3.243,10.574,86.182
ROU,2007,4.571,9.489,85.833
ROU,2008,6.602,10.129,82.993
ROU,2009,7.865,10.409,81.257
ROU,2010,7.675,13.406,78.575
ROU,2011,7.512,10.433,81.513
ROU,2012,7.577,9.863,82.031
ROU,2013,8.204,14.111,77.185
ROU,2014,7.912,16.974,74.696
ROU,2015,7.804,17.567,74.133
ROU,2016,7.521,17.972,73.733
ROU,2017,7.488,15.799,75.869
ROU,2018,7.224,16.632,75.26
ROU,2019,7.335,15.902,75.623
RUS,1985,2.898,4.66,92.442
RUS,1986,3.017,4.711,92.272
RUS,1987,3.462,4.512,92.026
RUS,1988,3.678,4.391,91.931
RUS,1989,3.706,4.342,91.952
RUS,1990,3.274,4.618,92.108
RUS,1991,3.366,4.718,91.916
RUS,1992,3.487,5.033,91.479
RUS,1993,3.728,5.453,90.819
RUS,1994,3.354,6.034,90.611
RUS,1995,3.607,6.39,90.003
RUS,1996,4.104,5.811,90.085
RUS,1997,4.32,6.271,89.409
RUS,1998,4.138,6.325,89.537
RUS,1999,4.802,6.325,88.873
RUS,2000,5.059,6.354,88.587
RUS,2001,5.184,6.588,88.227
RUS,2002,5.348,6.131,88.521
RUS,2003,5.526,5.735,88.739
RUS,2004,5.241,6.379,88.38
RUS,2005,5.384,6.235,88.38
RUS,2006,5.368,5.964,88.668
RUS,2007,5.426,6.018,88.556
RUS,2008,5.469,5.543,88.988
RUS,2009,5.739,6.129,88.132
RUS,2010,5.714,5.6,88.686
RUS,2011,5.58,5.279,89.141
RUS,2012,5.68,5.246,89.073
RUS,2013,5.558,5.852,88.59
RUS,2014,5.769,5.56,88.672
RUS,2015,6.326,5.468,88.206
RUS,2016,6.189,5.845,87.966
RUS,2017,6.332,5.809,87.858
RUS,2018,6.094,5.72,88.186
RUS,2019,6.251,5.868,87.881
SAU,1965,0,0,100
SAU,1966,0,0,100
SAU,1967,0,0,100
SAU,1968,0,0,100
SAU,1969,0,0,100
SAU,1970,0,0,100
SAU,1971,0,0,100
SAU,1972,0,0,100
SAU,1973,0,0,100
SAU,1974,0,0,100
SAU,1975,0,0,100
SAU,1976,0,0,100
SAU,1977,0,0,100
SAU,1978,0,0,100
SAU,1979,0,0,100
SAU,1980,0,0,100
SAU,1981,0,0,100
SAU,1982,0,0,100
SAU,1983,0,0,100
SAU,1984,0,0,100
SAU,1985,0,0,100
SAU,1986,0,0,100
SAU,1987,0,0,100
SAU,1988,0,0,100
SAU,1989,0,0,100
SAU,1990,0,0,100
SAU,1991,0,0,100
SAU,1992,0,0,100
SAU,1993,0,0,100
SAU,1994,0,0,100
SAU,1995,0,0,100
SAU,1996,0,0,100
SAU,1997,0,0,100
SAU,1998,0,0,100
SAU,1999,0,0,100
SAU,2000,0,0,100
SAU,2001,0,0,100
SAU,2002,0,0,100
SAU,2003,0,0,100
SAU,2004,0,0,100
SAU,2005,0,0,100
SAU,2006,0,0,100
SAU,2007,0,0,100
SAU,2008,0,0,100
SAU,2009,0,0,100
SAU,2010,0,0,100
SAU,2011,0,0.001,99.999
SAU,2012,0,0.002,99.998
SAU,2013,0,0.004,99.996
SAU,2014,0,0.004,99.996
SAU,2015,0,0.011,99.989
SAU,2016,0,0.011,99.989
SAU,2017,0,0.013,99.987
SAU,2018,0,0.031,99.969
SAU,2019,0,0.144,99.856
SGP,1965,0,0,100
SGP,1966,0,0,100
SGP,1967,0,0,100
SGP,1968,0,0,100
SGP,1969,0,0,100
SGP,1970,0,0,100
SGP,1971,0,0,100
SGP,1972,0,0,100
SGP,1973,0,0,100
SGP,1974,0,0,100
SGP,1975,0,0,100
SGP,1976,0,0,100
SGP,1977,0,0,100
SGP,1978,0,0,100
SGP,1979,0,0,100
SGP,1980,0,0,100
SGP,1981,0,0,100
SGP,1982,0,0,100
SGP,1983,0,0,100
SGP,1984,0,0,100
SGP,1985,0,0,100
SGP,1986,0,0.143,99.857
SGP,1987,0,0.136,99.864
SGP,1988,0,0.118,99.882
SGP,1989,0,0.103,99.897
SGP,1990,0,0.086,99.914
SGP,1991,0,0.245,99.755
SGP,1992,0,0.228,99.772
SGP,1993,0,0.209,99.791
SGP,1994,0,0.182,99.818
SGP,1995,0,0.175,99.825
SGP,1996,0,0.173,99.827
SGP,1997,0,0.165,99.835
SGP,1998,0,0.163,99.837
SGP,1999,0,0.164,99.836
SGP,2000,0,0.154,99.846
SGP,2001,0,0.26,99.74
SGP,2002,0,0.263,99.737
SGP,2003,0,0.289,99.711
SGP,2004,0,0.248,99.752
SGP,2005,0,0.234,99.766
SGP,2006,0,0.21,99.79
SGP,2007,0,0.202,99.798
SGP,2008,0,0.199,99.801
SGP,2009,0,0.187,99.813
SGP,2010,0,0.193,99.807
SGP,2011,0,0.191,99.809
SGP,2012,0,0.199,99.801
SGP,2013,0,0.216,99.784
SGP,2014,0,0.223,99.777
SGP,2015,0,0.234,99.766
SGP,2016,0,0.232,99.768
SGP,2017,0,0.225,99.775
SGP,2018,0,0.223,99.777
SGP,2019,0,0.239,99.761
SVK,1965,0,5.801,94.199
SVK,1966,0,5.369,94.631
SVK,1967,0,4.574,95.426
SVK,1968,0,3.802,96.198
SVK,1969,0,2.832,97.168
SVK,1970,0,3.864,96.136
SVK,1971,0,2.703,97.297
SVK,1972,0.005,2.693,97.302
SVK,1973,0.388,2.213,97.399
SVK,1974,0.774,3.538,95.688
SVK,1975,0.284,3.044,96.672
SVK,1976,0.648,2.959,96.393
SVK,1977,0.159,3.358,96.483
SVK,1978,0.025,3.002,96.973
SVK,1979,2.774,2.434,94.793
SVK,1980,5.753,2.871,91.376
SVK,1981,6.58,2.52,90.899
SVK,1982,7.568,2.237,90.196
SVK,1983,7.948,2.368,89.685
SVK,1984,8.683,1.865,89.452
SVK,1985,10.917,2.463,86.62
SVK,1986,13.755,1.967,84.278
SVK,1987,13.219,2.218,84.562
SVK,1988,13.107,2.005,84.888
SVK,1989,13.694,2.21,84.096
SVK,1990,13.519,2.112,84.369
SVK,1991,14.676,1.768,83.556
SVK,1992,14.428,2.529,83.042
SVK,1993,15.29,4.615,80.095
SVK,1994,17.041,5.892,77.067
SVK,1995,15.26,6.511,78.229
SVK,1996,14.896,5.597,79.507
SVK,1997,14.936,5.482,79.582
SVK,1998,15.211,5.696,79.093
SVK,1999,17.375,5.926,76.699
SVK,2000,21.169,5.923,72.908
SVK,2001,21.204,6.299,72.344
SVK,2002,21.94,6.624,71.423
SVK,2003,22.36,4.242,73.388
SVK,2004,21.751,5.134,73.11
SVK,2005,21.348,5.49,73.111
SVK,2006,22.35,5.812,71.62
SVK,2007,20.159,6.316,73.179
SVK,2008,21.09,5.815,72.689
SVK,2009,19.406,6.848,73.221
SVK,2010,18.748,7.441,73.249
SVK,2011,20.493,6.461,71.989
SVK,2012,21.326,7.403,70.679
SVK,2013,20.987,8.343,70.045
SVK,2014,22.08,9.031,67.994
SVK,2015,21.249,8.756,69.023
SVK,2016,20.518,9.07,69.499
SVK,2017,19.688,8.527,70.889
SVK,2018,19.573,7.656,71.867
SVK,2019,21.004,8.344,69.798
SVN,1990,18.746,12.062,69.192
SVN,1991,20.091,14.638,65.271
SVN,1992,17.227,14.85,67.923
SVN,1993,16.681,12.797,70.522
SVN,1994,18.273,13.476,68.252
SVN,1995,18.029,12.269,69.702
SVN,1996,16.409,13.193,70.398
SVN,1997,17.63,10.858,71.512
SVN,1998,17.595,12.094,70.311
SVN,1999,16.646,13.364,69.99
SVN,2000,17.037,13.97,68.993
SVN,2001,17.873,13.15,68.977
SVN,2002,18.755,11.586,69.659
SVN,2003,17.882,10.574,71.545
SVN,2004,17.574,13.572,68.854
SVN,2005,18.799,11.409,69.791
SVN,2006,17.454,11.609,70.877
SVN,2007,17.897,10.59,71.322
SVN,2008,17.913,12.307,69.468
SVN,2009,17.656,15.111,66.82
SVN,2010,17.261,14.499,67.629
SVN,2011,19.397,12.109,67.991
SVN,2012,17.662,13.832,67.765
SVN,2013,17.041,16.427,65.666
SVN,2014,19.911,20.668,58.804
SVN,2015,19.392,14.953,65.182
SVN,2016,18.261,16.165,65.296
SVN,2017,19.73,13.975,65.923
SVN,2018,17.682,16.046,65.21
SVN,2019,18.516,15.738,64.312
ZAF,1965,0,0.029,99.971
ZAF,1966,0,0.028,99.972
ZAF,1967,0,0.019,99.981
ZAF,1968,0,0.017,99.983
ZAF,1969,0,0.014,99.986
ZAF,1970,0,0.016,99.984
ZAF,1971,0,0.069,99.931
ZAF,1972,0,0.494,99.506
ZAF,1973,0,0.542,99.458
ZAF,1974,0,0.606,99.394
ZAF,1975,0,0.562,99.438
ZAF,1976,0,0.903,99.097
ZAF,1977,0,0.913,99.087
ZAF,1978,0,0.904,99.096
ZAF,1979,0,0.525,99.475
ZAF,1980,0,0.427,99.573
ZAF,1981,0,0.611,99.389
ZAF,1982,0,0.349,99.651
ZAF,1983,0,0.202,99.798
ZAF,1984,1.218,0.174,98.608
ZAF,1985,1.615,0.19,98.195
ZAF,1986,2.627,0.484,96.889
ZAF,1987,1.811,0.475,97.714
ZAF,1988,2.8,0.844,96.357
ZAF,1989,3.1,0.771,96.13
ZAF,1990,2.281,0.273,97.447
ZAF,1991,2.487,0.539,96.975
ZAF,1992,2.514,0.204,97.283
ZAF,1993,1.967,0.04,97.994
ZAF,1994,2.521,0.279,97.2
ZAF,1995,2.811,0.132,97.057
ZAF,1996,2.872,0.336,96.791
ZAF,1997,3.017,0.534,96.449
ZAF,1998,3.303,0.443,96.254
ZAF,1999,3.015,0.217,96.768
ZAF,2000,3.052,0.372,96.576
ZAF,2001,2.485,0.5,97.015
ZAF,2002,2.836,0.605,96.559
ZAF,2003,2.746,0.272,96.982
ZAF,2004,2.639,0.268,97.093
ZAF,2005,2.339,0.37,97.291
ZAF,2006,2.023,0.673,97.305
ZAF,2007,2.21,0.65,97.14
ZAF,2008,2.354,0.318,97.328
ZAF,2009,2.31,0.352,97.338
ZAF,2010,2.401,0.284,97.315
ZAF,2011,2.308,0.643,97.049
ZAF,2012,2.341,0.282,97.376
ZAF,2013,2.522,0.333,97.145
ZAF,2014,2.421,0.775,96.792
ZAF,2015,2.209,1.27,96.498
ZAF,2016,2.719,1.473,95.777
ZAF,2017,2.7,1.97,95.289
ZAF,2018,1.874,2.199,95.874
ZAF,2019,2.346,2.21,95.382
KOR,1965,0,2.642,97.358
KOR,1966,0,3.021,96.979
KOR,1967,0,2.543,97.457
KOR,1968,0,2.163,97.837
KOR,1969,0,2.754,97.246
KOR,1970,0,2.027,97.973
KOR,1971,0,2.026,97.974
KOR,1972,0,2.026,97.974
KOR,1973,0,1.537,98.463
KOR,1974,0,2.195,97.805
KOR,1975,0,1.762,98.238
KOR,1976,0,1.674,98.326
KOR,1977,0.058,1.133,98.809
KOR,1978,1.689,1.314,96.997
KOR,1979,1.987,1.448,96.565
KOR,1980,2.13,1.176,96.694
KOR,1981,1.695,1.52,96.785
KOR,1982,2.209,1.003,96.788
KOR,1983,4.825,1.235,93.94
KOR,1984,5.811,0.985,93.204
KOR,1985,7.471,1.421,91.108
KOR,1986,11.263,1.237,87.5
KOR,1987,14.12,1.424,84.456
KOR,1988,12.893,0.639,86.468
KOR,1989,14.014,0.877,85.109
KOR,1990,13.833,1.225,84.942
KOR,1991,13.017,0.806,86.177
KOR,1992,11.582,0.635,87.783
KOR,1993,10.862,0.79,88.348
KOR,1994,10.157,0.407,89.436
KOR,1995,10.625,0.477,88.897
KOR,1996,10.61,0.406,88.984
KOR,1997,10.072,0.378,89.55
KOR,1998,12.695,0.615,86.69
KOR,1999,13.394,0.553,86.053
KOR,2000,13.351,0.504,86.146
KOR,2001,13.346,0.29,86.364
KOR,2002,13.462,0.388,86.15
KOR,2003,14.108,0.556,85.336
KOR,2004,13.876,0.498,85.626
KOR,2005,15.005,0.423,84.573
KOR,2006,14.87,0.421,84.709
KOR,2007,13.765,0.476,85.76
KOR,2008,14.18,0.505,85.315
KOR,2009,13.736,0.604,85.66
KOR,2010,12.753,0.732,86.515
KOR,2011,12.623,0.802,86.575
KOR,2012,12.078,0.789,87.133
KOR,2013,11.075,0.933,87.992
KOR,2014,12.313,0.962,86.725
KOR,2015,12.641,1.163,86.196
KOR,2016,12.059,1.406,86.535
KOR,2017,10.797,1.733,87.47
KOR,2018,9.518,2.173,88.309
KOR,2019,10.52,2.54,86.94
ESP,1965,0,16.379,83.621
ESP,1966,0,20.088,79.912
ESP,1967,0,15.445,84.555
ESP,1968,0.054,15.804,84.142
ESP,1969,0.475,17.539,81.986
ESP,1970,0.49,14.755,84.755
ESP,1971,1.216,15.36,83.424
ESP,1972,2.119,15.844,82.037
ESP,1973,2.659,11.77,85.57
ESP,1974,2.82,11.955,85.225
ESP,1975,2.864,9.939,87.197
ESP,1976,2.68,7.492,89.828
ESP,1977,2.241,13.719,84.04
ESP,1978,2.617,13.881,83.502
ESP,1979,2.13,14.827,83.043
ESP,1980,1.635,9.428,88.937
ESP,1981,2.988,6.984,90.028
ESP,1982,2.743,8.386,88.872
ESP,1983,3.257,8.434,88.309
ESP,1984,6.953,9.648,83.4
ESP,1985,8.516,9.686,81.798
ESP,1986,11.134,8.035,80.83
ESP,1987,11.834,8.013,80.153
ESP,1988,13.877,9.877,76.246
ESP,1989,14.69,5.22,80.09
ESP,1990,14.209,6.802,78.989
ESP,1991,14.058,7.043,78.899
ESP,1992,13.441,4.724,81.834
ESP,1993,13.974,6.252,79.774
ESP,1994,13.17,6.906,79.924
ESP,1995,12.706,5.592,81.702
ESP,1996,12.44,9.112,78.447
ESP,1997,11.566,7.738,80.697
ESP,1998,11.777,7.367,80.855
ESP,1999,11.385,5.291,83.324
ESP,2000,11.385,6.608,82.007
ESP,2001,11.077,8.649,80.274
ESP,2002,10.757,6.056,83.187
ESP,2003,9.917,9.166,80.917
ESP,2004,9.738,7.889,82.373
ESP,2005,8.678,6.464,84.858
ESP,2006,8.886,7.809,83.305
ESP,2007,7.935,8.481,83.584
ESP,2008,8.685,9.309,82.005
ESP,2009,8.354,11.893,79.754
ESP,2010,9.461,15.818,74.72
ESP,2011,8.98,14.607,76.414
ESP,2012,9.555,14.999,75.446
ESP,2013,9.26,18.791,71.949
ESP,2014,9.479,18.971,71.551
ESP,2015,9.298,16.493,74.208
ESP,2016,9.368,17.545,73.087
ESP,2017,9.113,14.757,76.13
ESP,2018,8.575,17.3,74.124
ESP,2019,9.105,16.968,73.927
LKA,1965,0,15.602,84.398
LKA,1966,0,16.481,83.519
LKA,1967,0,16.526,83.474
LKA,1968,0,18.269,81.731
LKA,1969,0,20.194,79.806
LKA,1970,0,14.576,85.424
LKA,1971,0,17.282,82.718
LKA,1972,0,16.405,83.595
LKA,1973,0,13.395,86.605
LKA,1974,0,21.874,78.126
LKA,1975,0,23.795,76.205
LKA,1976,0,24.478,75.522
LKA,1977,0,25.003,74.997
LKA,1978,0,24.396,75.604
LKA,1979,0,25.143,74.857
LKA,1980,0,25.215,74.785
LKA,1981,0,23.292,76.708
LKA,1982,0,21.5,78.5
LKA,1983,0,15.947,84.053
LKA,1984,0,27.604,72.396
LKA,1985,0,32.41,67.59
LKA,1986,0,34.814,65.186
LKA,1987,0,27.859,72.141
LKA,1988,0,32.232,67.768
LKA,1989,0,35.053,64.947
LKA,1990,0,36.199,63.801
LKA,1991,0,34.738,65.262
LKA,1992,0,29.628,70.372
LKA,1993,0,36.184,63.816
LKA,1994,0,35.543,64.457
LKA,1995,0,35.975,64.025
LKA,1996,0,24.91,75.09
LKA,1997,0,24.489,75.511
LKA,1998,0,25.642,74.358
LKA,1999,0,25.233,74.767
LKA,2000,0,17.94,82.06
LKA,2001,0,17.701,82.299
LKA,2002,0,14.909,85.091
LKA,2003,0,17.517,82.483
LKA,2004,0,16.118,83.882
LKA,2005,0,16.257,83.743
LKA,2006,0,19.934,80.066
LKA,2007,0,16.582,83.418
LKA,2008,0,18.48,81.52
LKA,2009,0,16.81,83.19
LKA,2010,0,22.798,77.202
LKA,2011,0,17.73,82.27
LKA,2012,0,12.909,87.091
LKA,2013,0,26.122,73.878
LKA,2014,0,19.634,80.366
LKA,2015,0,20.127,79.873
LKA,2016,0,13.82,86.18
LKA,2017,0,12.911,87.089
LKA,2018,0,18.454,81.546
LKA,2019,0,14.052,85.948
SWE,1965,0.013,33.526,66.461
SWE,1966,0.03,30.753,69.217
SWE,1967,0.033,32.567,67.4
SWE,1968,0.014,30.112,69.874
SWE,1969,0.038,25.774,74.189
SWE,1970,0.032,24.134,75.834
SWE,1971,0.051,29.824,70.125
SWE,1972,0.813,29.958,69.228
SWE,1973,1.109,31.659,67.232
SWE,1974,1.167,32.731,66.102
SWE,1975,6.415,31.062,62.523
SWE,1976,8.051,27.78,64.169
SWE,1977,10.16,27.477,62.363
SWE,1978,10.42,25.426,64.154
SWE,1979,8.739,25.514,65.747
SWE,1980,11.705,26.332,61.963
SWE,1981,16.807,27.064,56.129
SWE,1982,18.312,26.296,55.392
SWE,1983,19.406,30.76,49.833
SWE,1984,22.791,31.219,45.99
SWE,1985,24.111,29.972,45.916
SWE,1986,27.719,24.933,47.348
SWE,1987,27.359,29.972,42.669
SWE,1988,28.851,29.892,41.257
SWE,1989,27.901,31.448,40.651
SWE,1990,28.506,31.128,40.366
SWE,1991,33.824,28.695,37.481
SWE,1992,27.841,33.475,38.684
SWE,1993,27.199,34.056,38.745
SWE,1994,32.3,27.11,40.59
SWE,1995,30.59,30.861,38.549
SWE,1996,33.31,24.219,42.471
SWE,1997,30.416,31.332,38.252
SWE,1998,29.566,31.273,39.162
SWE,1999,30.286,30.931,38.783
SWE,2000,25.672,37.238,37.09
SWE,2001,29.889,34.536,35.575
SWE,2002,29.916,31.248,38.836
SWE,2003,30.631,26.686,42.683
SWE,2004,32.654,28.857,38.489
SWE,2005,29.61,33.319,37.071
SWE,2006,28.832,30.893,40.274
SWE,2007,28.284,33.067,38.649
SWE,2008,27.281,35.349,37.37
SWE,2009,24.18,37.396,38.424
SWE,2010,25.093,36.628,38.279
SWE,2011,26.45,38.149,35.401
SWE,2012,26.281,41.573,32.146
SWE,2013,28.878,37.21,33.911
