Code,Year,Access to clean fuels cooking %,IDCFA
AUT,2005,100,2005AUT
AUT,2006,100,2006AUT
AUT,2007,100,2007AUT
AUT,2008,100,2008AUT
AUT,2009,100,2009AUT
AUT,2010,100,2010AUT
AUT,2011,100,2011AUT
AUT,2012,100,2012AUT
AUT,2013,100,2013AUT
AUT,2014,100,2014AUT
AUT,2015,100,2015AUT
AUT,2016,100,2016AUT
AZE,2000,73.19,2000AZE
AZE,2001,76.11,2001AZE
AZE,2002,78.64,2002AZE
AZE,2003,80.9,2003AZE
AZE,2004,83.01,2004AZE
AZE,2005,84.79,2005AZE
AZE,2006,86.11,2006AZE
AZE,2007,87.67,2007AZE
AZE,2008,89.21,2008AZE
AZE,2009,90.38,2009AZE
AZE,2010,91.38,2010AZE
AZE,2011,92.25,2011AZE
AZE,2012,92.96,2012AZE
AZE,2013,93.71,2013AZE
AZE,2014,94.44,2014AZE
AZE,2015,95.1,2015AZE
AZE,2016,95.54,2016AZE
BHS,2000,100,2000BHS
BHS,2001,100,2001BHS
BHS,2002,100,2002BHS
BHS,2003,100,2003BHS
BHS,2004,100,2004BHS
BHS,2005,100,2005BHS
BHS,2006,100,2006BHS
BHS,2007,100,2007BHS
BHS,2008,100,2008BHS
BHS,2009,100,2009BHS
BHS,2010,100,2010BHS
BHS,2011,100,2011BHS
BHS,2012,100,2012BHS
BHS,2013,100,2013BHS
BHS,2014,100,2014BHS
BHS,2015,100,2015BHS
BHS,2016,100,2016BHS
BHR,2000,100,2000BHR
BHR,2001,100,2001BHR
BHR,2002,100,2002BHR
BHR,2003,100,2003BHR
BHR,2004,100,2004BHR
BHR,2005,100,2005BHR
BHR,2006,100,2006BHR
BHR,2007,100,2007BHR
BHR,2008,100,2008BHR
BHR,2009,100,2009BHR
BHR,2010,100,2010BHR
BHR,2011,100,2011BHR
BHR,2012,100,2012BHR
BHR,2013,100,2013BHR
BHR,2014,100,2014BHR
BHR,2015,100,2015BHR
BHR,2016,100,2016BHR
BGD,2000,7.24,2000BGD
BGD,2001,7.78,2001BGD
BGD,2002,8.16,2002BGD
BGD,2003,8.73,2003BGD
BGD,2004,9.2,2004BGD
BGD,2005,9.74,2005BGD
BGD,2006,10.36,2006BGD
BGD,2007,10.92,2007BGD
BGD,2008,11.59,2008BGD
BGD,2009,12.2,2009BGD
BGD,2010,12.9,2010BGD
BGD,2011,13.63,2011BGD
BGD,2012,14.33,2012BGD
BGD,2013,15.06,2013BGD
BGD,2014,15.96,2014BGD
BGD,2015,16.68,2015BGD
BGD,2016,17.72,2016BGD
BRB,2000,97.4,2000BRB
BRB,2001,97.66,2001BRB
BRB,2002,97.91,2002BRB
BRB,2003,98.16,2003BRB
BRB,2004,98.35,2004BRB
BRB,2005,98.49,2005BRB
BRB,2006,98.65,2006BRB
BRB,2007,98.8,2007BRB
BRB,2008,98.92,2008BRB
BRB,2009,99.01,2009BRB
BRB,2010,99.08,2010BRB
BRB,2011,99.17,2011BRB
BRB,2012,99.24,2012BRB
BRB,2013,99.3,2013BRB
BRB,2014,99.36,2014BRB
BRB,2015,99.41,2015BRB
BRB,2016,99.44,2016BRB
BLR,2000,93.69,2000BLR
BLR,2001,94.36,2001BLR
BLR,2002,94.84,2002BLR
BLR,2003,95.32,2003BLR
BLR,2004,95.7,2004BLR
BLR,2005,96.13,2005BLR
BLR,2006,96.43,2006BLR
BLR,2007,96.75,2007BLR
BLR,2008,96.93,2008BLR
BLR,2009,97.19,2009BLR
BLR,2010,97.43,2010BLR
BLR,2011,97.57,2011BLR
BLR,2012,97.69,2012BLR
BLR,2013,97.85,2013BLR
BLR,2014,97.91,2014BLR
BLR,2015,98.01,2015BLR
BLR,2016,98.18,2016BLR
BEL,2000,100,2000BEL
BEL,2001,100,2001BEL
BEL,2002,100,2002BEL
BEL,2003,100,2003BEL
BEL,2004,100,2004BEL
BEL,2005,100,2005BEL
BEL,2006,100,2006BEL
BEL,2007,100,2007BEL
BEL,2008,100,2008BEL
BEL,2009,100,2009BEL
BEL,2010,100,2010BEL
BEL,2011,100,2011BEL
BEL,2012,100,2012BEL
BEL,2013,100,2013BEL
BEL,2014,100,2014BEL
BEL,2015,100,2015BEL
BEL,2016,100,2016BEL
BLZ,2000,78.18,2000BLZ
BLZ,2001,78.87,2001BLZ
BLZ,2002,79.42,2002BLZ
BLZ,2003,80.01,2003BLZ
BLZ,2004,80.57,2004BLZ
BLZ,2005,80.98,2005BLZ
BLZ,2006,81.47,2006BLZ
BLZ,2007,82.07,2007BLZ
BLZ,2008,82.48,2008BLZ
BLZ,2009,82.82,2009BLZ
BLZ,2010,83.31,2010BLZ
BLZ,2011,83.78,2011BLZ
BLZ,2012,84.17,2012BLZ
BLZ,2013,84.54,2013BLZ
BLZ,2014,84.84,2014BLZ
BLZ,2015,85.18,2015BLZ
BLZ,2016,85.43,2016BLZ
BEN,2000,1.83,2000BEN
BEN,2001,2.06,2001BEN
BEN,2002,2.28,2002BEN
BEN,2003,2.58,2003BEN
BEN,2004,2.89,2004BEN
BEN,2005,3.24,2005BEN
BEN,2006,3.49,2006BEN
BEN,2007,3.91,2007BEN
BEN,2008,4.19,2008BEN
BEN,2009,4.46,2009BEN
BEN,2010,4.78,2010BEN
BEN,2011,4.99,2011BEN
BEN,2012,5.34,2012BEN
BEN,2013,5.58,2013BEN
BEN,2014,5.85,2014BEN
BEN,2015,6.06,2015BEN
BEN,2016,6.44,2016BEN
BTN,2000,31.67,2000BTN
BTN,2001,33.34,2001BTN
BTN,2002,35.16,2002BTN
BTN,2003,36.36,2003BTN
BTN,2004,38.11,2004BTN
BTN,2005,39.58,2005BTN
BTN,2006,40.85,2006BTN
BTN,2007,41.81,2007BTN
BTN,2008,43.54,2008BTN
BTN,2009,44.98,2009BTN
BTN,2010,46.33,2010BTN
BTN,2011,47.2,2011BTN
BTN,2012,48.11,2012BTN
BTN,2013,49.76,2013BTN
BTN,2014,50.65,2014BTN
BTN,2015,51.75,2015BTN
BTN,2016,52.5,2016BTN
BOL,2000,65.29,2000BOL
BOL,2001,66.5,2001BOL
BOL,2002,67.76,2002BOL
BOL,2003,69.01,2003BOL
BOL,2004,70.11,2004BOL
BOL,2005,71.49,2005BOL
BOL,2006,72.6,2006BOL
BOL,2007,73.66,2007BOL
BOL,2008,74.69,2008BOL
BOL,2009,75.8,2009BOL
BOL,2010,76.55,2010BOL
BOL,2011,77.59,2011BOL
BOL,2012,78.52,2012BOL
BOL,2013,79.5,2013BOL
BOL,2014,80.45,2014BOL
BOL,2015,62.55,2015BOL
BOL,2016,64,2016BOL
BIH,2000,38.07,2000BIH
BIH,2001,39.56,2001BIH
BIH,2002,41.48,2002BIH
BIH,2003,42.57,2003BIH
BIH,2004,44.63,2004BIH
BIH,2005,45.7,2005BIH
BIH,2006,47.63,2006BIH
BIH,2007,49.34,2007BIH
BIH,2008,50.79,2008BIH
BIH,2009,52.48,2009BIH
BIH,2010,54.24,2010BIH
BIH,2011,55.89,2011BIH
BIH,2012,57.44,2012BIH
BIH,2013,58.82,2013BIH
BIH,2014,60.38,2014BIH
BIH,2015,62.22,2015BIH
BIH,2016,63.38,2016BIH
BWA,2000,45.12,2000BWA
BWA,2001,46.53,2001BWA
BWA,2002,47.72,2002BWA
BWA,2003,49.24,2003BWA
BWA,2004,50.64,2004BWA
BWA,2005,52.01,2005BWA
BWA,2006,53,2006BWA
BWA,2007,54.39,2007BWA
BWA,2008,55.38,2008BWA
BWA,2009,56.73,2009BWA
BWA,2010,57.59,2010BWA
BWA,2011,58.72,2011BWA
BWA,2012,59.92,2012BWA
BWA,2013,61.05,2013BWA
BWA,2014,62.12,2014BWA
BWA,2015,63.15,2015BWA
BWA,2016,64.08,2016BWA
BRA,2000,86.91,2000BRA
BRA,2001,87.89,2001BRA
BRA,2002,88.8,2002BRA
BRA,2003,89.55,2003BRA
BRA,2004,90.3,2004BRA
BRA,2005,91.04,2005BRA
BRA,2006,91.67,2006BRA
BRA,2007,92.17,2007BRA
BRA,2008,92.73,2008BRA
BRA,2009,93.27,2009BRA
BRA,2010,93.66,2010BRA
BRA,2011,94.07,2011BRA
BRA,2012,94.48,2012BRA
BRA,2013,94.77,2013BRA
BRA,2014,95.1,2014BRA
BRA,2015,95.38,2015BRA
BRA,2016,95.59,2016BRA
BRN,2000,100,2000BRN
BRN,2001,100,2001BRN
BRN,2002,100,2002BRN
BRN,2003,100,2003BRN
BRN,2004,100,2004BRN
BRN,2005,100,2005BRN
BRN,2006,100,2006BRN
BRN,2007,100,2007BRN
BRN,2008,100,2008BRN
BRN,2009,100,2009BRN
BRN,2010,100,2010BRN
BRN,2011,100,2011BRN
BRN,2012,100,2012BRN
BRN,2013,100,2013BRN
BRN,2014,100,2014BRN
BRN,2015,100,2015BRN
BRN,2016,100,2016BRN
BGR,2000,64.96,2000BGR
BGR,2001,68.7,2001BGR
BGR,2002,72.09,2002BGR
BGR,2003,75.09,2003BGR
BGR,2004,77.62,2004BGR
BGR,2005,79.75,2005BGR
BGR,2006,81.48,2006BGR
BGR,2007,83,2007BGR
BGR,2008,84.2,2008BGR
BGR,2009,85.22,2009BGR
BGR,2010,86.04,2010BGR
BGR,2011,86.7,2011BGR
BGR,2012,87.27,2012BGR
BGR,2013,87.71,2013BGR
BGR,2014,88.11,2014BGR
BGR,2015,88.42,2015BGR
BGR,2016,88.65,2016BGR
BFA,2000,2.83,2000BFA
BFA,2001,3.06,2001BFA
BFA,2002,3.35,2002BFA
BFA,2003,3.57,2003BFA
BFA,2004,3.85,2004BFA
BFA,2005,4.21,2005BFA
BFA,2006,4.48,2006BFA
BFA,2007,4.8,2007BFA
BFA,2008,5.16,2008BFA
BFA,2009,5.51,2009BFA
BFA,2010,6.01,2010BFA
BFA,2011,6.43,2011BFA
BFA,2012,6.82,2012BFA
BFA,2013,7.33,2013BFA
BFA,2014,7.88,2014BFA
BFA,2015,8.46,2015BFA
BFA,2016,8.93,2016BFA
BDI,2000,0.62,2000BDI
BDI,2001,0.62,2001BDI
BDI,2002,0.63,2002BDI
BDI,2003,0.64,2003BDI
BDI,2004,0.65,2004BDI
BDI,2005,0.67,2005BDI
BDI,2006,0.67,2006BDI
BDI,2007,0.69,2007BDI
BDI,2008,0.7,2008BDI
BDI,2009,0.69,2009BDI
BDI,2010,0.72,2010BDI
BDI,2011,0.76,2011BDI
BDI,2012,0.77,2012BDI
BDI,2013,0.77,2013BDI
BDI,2014,0.81,2014BDI
BDI,2015,0.83,2015BDI
BDI,2016,0.85,2016BDI
KHM,2000,4.66,2000KHM
KHM,2001,5.18,2001KHM
KHM,2002,5.69,2002KHM
KHM,2003,6.22,2003KHM
KHM,2004,6.73,2004KHM
KHM,2005,7.35,2005KHM
KHM,2006,7.98,2006KHM
KHM,2007,8.72,2007KHM
KHM,2008,9.47,2008KHM
KHM,2009,10.32,2009KHM
KHM,2010,11.22,2010KHM
KHM,2011,12.02,2011KHM
KHM,2012,12.98,2012KHM
KHM,2013,14.05,2013KHM
KHM,2014,15.28,2014KHM
KHM,2015,16.36,2015KHM
KHM,2016,17.69,2016KHM
CMR,2000,9.88,2000CMR
CMR,2001,10.57,2001CMR
CMR,2002,11.27,2002CMR
CMR,2003,11.91,2003CMR
CMR,2004,12.64,2004CMR
CMR,2005,13.5,2005CMR
CMR,2006,14.13,2006CMR
CMR,2007,15.06,2007CMR
CMR,2008,15.87,2008CMR
CMR,2009,16.76,2009CMR
CMR,2010,17.6,2010CMR
CMR,2011,18.45,2011CMR
CMR,2012,19.44,2012CMR
CMR,2013,20.22,2013CMR
CMR,2014,21.06,2014CMR
CMR,2015,21.98,2015CMR
