Code,Year,Access to electricity (% of population),IDEL
WSM,1995,82.87850189,1995WSM
WSM,1996,83.86134338,1996WSM
WSM,1997,84.82888794,1997WSM
WSM,1998,85.7780838,1998WSM
WSM,1999,86.70586395,1999WSM
WSM,2000,87.61068726,2000WSM
WSM,2001,88.49710846,2001WSM
WSM,2002,89.37117767,2002WSM
WSM,2003,90.23896027,2003WSM
WSM,2004,91.10652924,2004WSM
WSM,2005,91.97993469,2005WSM
WSM,2006,96.37172973,2006WSM
WSM,2007,93.7685318,2007WSM
WSM,2008,94.69432831,2008WSM
WSM,2009,97.9,2009WSM
WSM,2010,96.60601044,2010WSM
WSM,2011,96.6685747,2011WSM
WSM,2012,98.50470734,2012WSM
WSM,2013,99.25564575,2013WSM
WSM,2014,97.9,2014WSM
WSM,2015,99.9382782,2015WSM
WSM,2016,100,2016WSM
SMR,1990,100,1990SMR
SMR,1991,100,1991SMR
SMR,1992,100,1992SMR
SMR,1993,100,1993SMR
SMR,1994,100,1994SMR
SMR,1995,100,1995SMR
SMR,1996,100,1996SMR
SMR,1997,100,1997SMR
SMR,1998,100,1998SMR
SMR,1999,100,1999SMR
SMR,2000,100,2000SMR
SMR,2001,100,2001SMR
SMR,2002,100,2002SMR
SMR,2003,100,2003SMR
SMR,2004,100,2004SMR
SMR,2005,100,2005SMR
SMR,2006,100,2006SMR
SMR,2007,100,2007SMR
SMR,2008,100,2008SMR
SMR,2009,100,2009SMR
SMR,2010,100,2010SMR
SMR,2011,100,2011SMR
SMR,2012,100,2012SMR
SMR,2013,100,2013SMR
SMR,2014,100,2014SMR
SMR,2015,100,2015SMR
SMR,2016,100,2016SMR
STP,1990,42.75796509,1990STP
STP,1991,43.6918335,1991STP
STP,1992,44.62519073,1992STP
STP,1993,45.55548859,1993STP
STP,1994,46.47967148,1994STP
STP,1995,47.39467239,1995STP
STP,1996,48.29743958,1996STP
STP,1997,49.18491364,1997STP
STP,1998,50.05402756,1998STP
STP,1999,50.9017334,1999STP
STP,2000,52.9,2000STP
STP,2001,52.53282166,2001STP
STP,2002,53.32681656,2002STP
STP,2003,54.11452866,2003STP
STP,2004,54.90201569,2004STP
STP,2005,55.69534683,2005STP
STP,2006,56.50058746,2006STP
STP,2007,57.3237915,2007STP
STP,2008,58.16951752,2008STP
STP,2009,56.9,2009STP
STP,2010,59.92104721,2010STP
STP,2011,60.82084274,2011STP
STP,2012,57.9,2012STP
STP,2013,62.65348053,2013STP
STP,2014,68.6,2014STP
STP,2015,64.51014709,2015STP
STP,2016,65.44048309,2016STP
SAU,2004,100,2004SAU
SAU,2005,100,2005SAU
SAU,2006,100,2006SAU
SAU,2007,100,2007SAU
SAU,2008,100,2008SAU
SAU,2009,100,2009SAU
SAU,2010,100,2010SAU
SAU,2011,100,2011SAU
SAU,2012,100,2012SAU
SAU,2013,100,2013SAU
SAU,2014,100,2014SAU
SAU,2015,100,2015SAU
SAU,2016,100,2016SAU
SEN,1990,25.13053513,1990SEN
SEN,1991,26.65760231,1991SEN
SEN,1992,28.18415833,1992SEN
SEN,1993,26,1993SEN
SEN,1994,31.22503471,1994SEN
SEN,1995,32.73323822,1995SEN
SEN,1996,34.22920227,1996SEN
SEN,1997,32.2,1997SEN
SEN,1998,37.17218781,1998SEN
SEN,1999,36.2,1999SEN
SEN,2000,62.2570631,2000SEN
SEN,2001,41.43057632,2001SEN
SEN,2002,36.8,2002SEN
SEN,2003,44.19868088,2003SEN
SEN,2004,36.8,2004SEN
SEN,2005,47.1,2005SEN
SEN,2006,49.9,2006SEN
SEN,2007,49.78073883,2007SEN
SEN,2008,51.21966171,2008SEN
SEN,2009,53.5,2009SEN
SEN,2010,54.15758896,2010SEN
SEN,2011,56.5,2011SEN
SEN,2012,57.15559769,2012SEN
SEN,2013,57,2013SEN
SEN,2014,61,2014SEN
SEN,2015,60.5,2015SEN
SEN,2016,64.5,2016SEN
SRB,1990,99.27126312,1990SRB
SRB,1991,99.36639404,1991SRB
SRB,1992,99.46003723,1992SRB
SRB,1993,99.55010986,1993SRB
SRB,1994,99.6339798,1994SRB
SRB,1995,99.70866394,1995SRB
SRB,1996,99.77090454,1996SRB
SRB,1997,99.81654358,1997SRB
SRB,1998,99.84061432,1998SRB
SRB,1999,99.84061432,1999SRB
SRB,2000,99.84008026,2000SRB
SRB,2001,99.81719971,2001SRB
SRB,2002,100,2002SRB
SRB,2003,99.73330688,2003SRB
SRB,2004,99.68743896,2004SRB
SRB,2005,99.69072165,2005SRB
SRB,2006,99.62382507,2006SRB
SRB,2007,99.62101746,2007SRB
SRB,2008,99.62101746,2008SRB
SRB,2009,99.64244843,2009SRB
SRB,2010,99.718398,2010SRB
SRB,2011,99.74458313,2011SRB
SRB,2012,99.81497192,2012SRB
SRB,2013,99.88726807,2013SRB
SRB,2014,99.66079793,2014SRB
SRB,2015,99.98274231,2015SRB
SRB,2016,100,2016SRB
SYC,1990,89.54558563,1990SYC
SYC,1991,90.01955414,1991SYC
SYC,1992,90.49301147,1992SYC
SYC,1993,90.96340942,1993SYC
SYC,1994,90,1994SYC
SYC,1995,91.88279724,1995SYC
SYC,1996,92.32566833,1996SYC
SYC,1997,92,1997SYC
SYC,1998,93.16246033,1998SYC
SYC,1999,93.55026245,1999SYC
SYC,2000,93.91511536,2000SYC
SYC,2001,94.26155853,2001SYC
SYC,2002,96.1,2002SYC
SYC,2003,94.92346954,2003SYC
SYC,2004,95.25106049,2004SYC
SYC,2005,95.58448792,2005SYC
SYC,2006,99,2006SYC
SYC,2007,96.2931366,2007SYC
SYC,2008,96.67896271,2008SYC
SYC,2009,97.08582306,2009SYC
SYC,2010,97,2010SYC
SYC,2011,97.95059967,2011SYC
SYC,2012,98.40927124,2012SYC
SYC,2013,98,2013SYC
SYC,2014,99.29888916,2014SYC
SYC,2015,99.67832184,2015SYC
SYC,2016,100,2016SYC
SLE,1990,7.0815382,1990SLE
SLE,1991,7.520792484,1991SLE
SLE,1992,7.959536552,1992SLE
SLE,1993,8.39522171,1993SLE
SLE,1994,8.824788094,1994SLE
SLE,1995,9.245178223,1995SLE
SLE,1996,9.653330803,1996SLE
SLE,1997,10.04618835,1997SLE
SLE,1998,10.42069149,1998SLE
SLE,1999,10.77378082,1999SLE
SLE,2000,11.10391712,2000SLE
SLE,2001,11.41564369,2001SLE
SLE,2002,11.71502399,2002SLE
SLE,2003,12.00812054,2003SLE
SLE,2004,16.8,2004SLE
SLE,2005,11.33248552,2005SLE
SLE,2006,12.91033745,2006SLE
SLE,2007,13.23892975,2007SLE
SLE,2008,12.1,2008SLE
SLE,2009,13.96218109,2009SLE
SLE,2010,11.46217307,2010SLE
SLE,2011,14.2,2011SLE
SLE,2012,15.17472649,2012SLE
SLE,2013,13.5,2013SLE
SLE,2014,16.03315544,2014SLE
SLE,2015,16.46837616,2015SLE
SLE,2016,20.3,2016SLE
SGP,1990,100,1990SGP
SGP,1991,100,1991SGP
SGP,1992,100,1992SGP
SGP,1993,100,1993SGP
SGP,1994,100,1994SGP
SGP,1995,100,1995SGP
SGP,1996,100,1996SGP
SGP,1997,100,1997SGP
SGP,1998,100,1998SGP
SGP,1999,100,1999SGP
SGP,2000,100,2000SGP
SGP,2001,100,2001SGP
SGP,2002,100,2002SGP
SGP,2003,100,2003SGP
SGP,2004,100,2004SGP
SGP,2005,100,2005SGP
SGP,2006,100,2006SGP
SGP,2007,100,2007SGP
SGP,2008,100,2008SGP
SGP,2009,100,2009SGP
SGP,2010,100,2010SGP
SGP,2011,100,2011SGP
SGP,2012,100,2012SGP
SGP,2013,100,2013SGP
SGP,2014,100,2014SGP
SGP,2015,100,2015SGP
SGP,2016,100,2016SGP
SXM,1990,100,1990SXM
SXM,1991,100,1991SXM
SXM,1992,100,1992SXM
SXM,1993,100,1993SXM
SXM,1994,100,1994SXM
SXM,1995,100,1995SXM
SXM,1996,100,1996SXM
SXM,1997,100,1997SXM
SXM,1998,100,1998SXM
SXM,1999,100,1999SXM
SXM,2000,100,2000SXM
SXM,2001,100,2001SXM
SXM,2002,100,2002SXM
SXM,2003,100,2003SXM
SXM,2004,100,2004SXM
SXM,2005,100,2005SXM
SXM,2006,100,2006SXM
SXM,2007,100,2007SXM
SXM,2008,100,2008SXM
SXM,2009,100,2009SXM
SXM,2010,100,2010SXM
SXM,2011,100,2011SXM
SXM,2012,100,2012SXM
SXM,2013,100,2013SXM
SXM,2014,100,2014SXM
SXM,2015,100,2015SXM
SXM,2016,100,2016SXM
SVK,1990,100,1990SVK
SVK,1991,100,1991SVK
SVK,1992,100,1992SVK
SVK,1993,100,1993SVK
SVK,1994,100,1994SVK
SVK,1995,100,1995SVK
SVK,1996,100,1996SVK
SVK,1997,100,1997SVK
SVK,1998,100,1998SVK
SVK,1999,100,1999SVK
SVK,2000,100,2000SVK
SVK,2001,100,2001SVK
SVK,2002,100,2002SVK
SVK,2003,100,2003SVK
SVK,2004,100,2004SVK
SVK,2005,100,2005SVK
SVK,2006,100,2006SVK
SVK,2007,100,2007SVK
SVK,2008,100,2008SVK
SVK,2009,100,2009SVK
SVK,2010,100,2010SVK
SVK,2011,100,2011SVK
SVK,2012,100,2012SVK
SVK,2013,100,2013SVK
SVK,2014,100,2014SVK
SVK,2015,100,2015SVK
SVK,2016,100,2016SVK
SVN,1990,100,1990SVN
SVN,1991,100,1991SVN
SVN,1992,100,1992SVN
SVN,1993,100,1993SVN
SVN,1994,100,1994SVN
SVN,1995,100,1995SVN
SVN,1996,100,1996SVN
SVN,1997,100,1997SVN
SVN,1998,100,1998SVN
SVN,1999,100,1999SVN
SVN,2000,100,2000SVN
SVN,2001,100,2001SVN
SVN,2002,100,2002SVN
SVN,2003,100,2003SVN
SVN,2004,100,2004SVN
SVN,2005,100,2005SVN
SVN,2006,100,2006SVN
SVN,2007,100,2007SVN
SVN,2008,100,2008SVN
SVN,2009,100,2009SVN
SVN,2010,100,2010SVN
SVN,2011,100,2011SVN
SVN,2012,100,2012SVN
SVN,2013,100,2013SVN
SVN,2014,100,2014SVN
SVN,2015,100,2015SVN
SVN,2016,100,2016SVN
,1990,52.38257701,1990
,1991,53.42626164,1991
,1992,53.70652073,1992
,1993,54.25285009,1993
,1994,54.96255427,1994
,1995,55.67304276,1995
,1996,56.84809177,1996
,1997,57.19702044,1997
,1998,57.98615398,1998
,1999,59.12751232,1999
,2000,60.47374675,2000
,2001,62.03561601,2001
,2002,62.74314733,2002
,2003,63.58357098,2003
,2004,64.54272571,2004
,2005,65.65220119,2005
,2006,66.52205608,2006
,2007,67.89329721,2007
,2008,68.98074897,2008
,2009,69.63851317,2009
,2010,70.37469319,2010
,2011,72.10403622,2011
,2012,73.15060575,2012
,2013,73.77447834,2013
,2014,75.39585146,2014
,2015,76.09749346,2015
,2016,76.63864944,2016
SLB,1990,0.01,1990SLB
SLB,1991,0.01,1991SLB
SLB,1992,0.01,1992SLB
SLB,1993,0.01,1993SLB
SLB,1994,0.01,1994SLB
SLB,1995,0.032361541,1995SLB
SLB,1996,0.206765354,1996SLB
SLB,1997,0.823471665,1997SLB
SLB,1998,1.441138625,1998SLB
SLB,1999,15.7,1999SLB
SLB,2000,6.568208694,2000SLB
SLB,2001,9.101857185,2001SLB
SLB,2002,11.62316036,2002SLB
SLB,2003,14.13817883,2003SLB
SLB,2004,16.65297699,2004SLB
SLB,2005,19.17361641,2005SLB
SLB,2006,14.4,2006SLB
SLB,2007,12.9,2007SLB
SLB,2008,26.82971001,2008SLB
SLB,2009,21.2,2009SLB
SLB,2010,32.03585815,2010SLB
SLB,2011,34.66296387,2011SLB
SLB,2012,37.30208206,2012SLB
SLB,2013,44.7,2013SLB
SLB,2014,42.60435486,2014SLB
SLB,2015,55.1,2015SLB
SLB,2016,47.91914368,2016SLB
SOM,1990,0.01,1990SOM
SOM,1991,0.01,1991SOM
SOM,1992,0.01,1992SOM
SOM,1993,0.01,1993SOM
SOM,1994,0.024699653,1994SOM
SOM,1995,0.136908397,1995SOM
SOM,1996,0.525144458,1996SOM
SOM,1997,0.950777709,1997SOM
SOM,1998,2.487471581,1998SOM
SOM,1999,4.002751827,1999SOM
SOM,2000,5.495079517,2000SOM
SOM,2001,6.968997478,2001SOM
SOM,2002,7.4,2002SOM
SOM,2003,9.885855675,2003SOM
SOM,2004,11.34092236,2004SOM
SOM,2005,12.80183125,2005SOM
SOM,2006,15.23378582,2006SOM
SOM,2007,15.76542854,2007SOM
SOM,2008,17.2787323,2008SOM
SOM,2009,18.81306267,2009SOM
SOM,2010,20.36541748,2010SOM
SOM,2011,21.93279076,2011SOM
SOM,2012,23.51218033,2012SOM
SOM,2013,25.10058212,2013SOM
SOM,2014,26.69499207,2014SOM
SOM,2015,28.29240417,2015SOM
SOM,2016,29.89031792,2016SOM
ZAF,1990,59.33794022,1990ZAF
ZAF,1991,60.57508087,1991ZAF
ZAF,1992,61.81171036,1992ZAF
ZAF,1993,63.04528427,1993ZAF
ZAF,1994,64.2727356,1994ZAF
ZAF,1995,65.49101257,1995ZAF
ZAF,1996,57.6,1996ZAF
ZAF,1997,67.88779449,1997ZAF
ZAF,1998,64.9,1998ZAF
ZAF,1999,70.21115875,1999ZAF
ZAF,2000,71.33917999,2000ZAF
ZAF,2001,70.2,2001ZAF
ZAF,2002,77.1,2002ZAF
ZAF,2003,78.8,2003ZAF
ZAF,2004,80.9,2004ZAF
ZAF,2005,80.9,2005ZAF
ZAF,2006,80.7,2006ZAF
ZAF,2007,82,2007ZAF
ZAF,2008,81.9,2008ZAF
ZAF,2009,82.7,2009ZAF
ZAF,2010,82.9,2010ZAF
ZAF,2011,84.7,2011ZAF
ZAF,2012,85.3,2012ZAF
ZAF,2013,85.4,2013ZAF
ZAF,2014,86,2014ZAF
ZAF,2015,85.5,2015ZAF
ZAF,2016,84.2,2016ZAF
,1990,40.56578759,1990
,1991,42.34556546,1991
,1992,43.86661144,1992
,1993,47.56233912,1993
,1994,47.12976416,1994
,1995,48.87319612,1995
,1996,50.67016283,1996
,1997,51.94345827,1997
,1998,53.72808492,1998
,1999,57.26320022,1999
,2000,57.12171061,2000
,2001,54.77361486,2001
,2002,60.44332534,2002
,2003,62.08152461,2003
,2004,62.74186015,2004
,2005,65.57451374,2005
,2006,67.08066622,2006
,2007,69.01083103,2007
,2008,70.64156337,2008
,2009,74.02505695,2009
,2010,75.11751924,2010
,2011,69.32652945,2011
,2012,79.35293498,2012
,2013,79.31832379,2013
,2014,81.44868958,2014
,2015,86.51398714,2015
,2016,85.56914982,2016
,1990,40.56578759,1990
,1991,42.34556546,1991
,1992,43.86661144,1992
,1993,47.56233912,1993
,1994,47.12976416,1994
,1995,48.87319612,1995
,1996,50.67016283,1996
,1997,51.94345827,1997
,1998,53.72808492,1998
,1999,57.26320022,1999
,2000,57.12171061,2000
,2001,54.77361486,2001
,2002,60.44332534,2002
,2003,62.08152461,2003
,2004,62.74186015,2004
,2005,65.57451374,2005
,2006,67.08066622,2006
,2007,69.01083103,2007
,2008,70.64156337,2008
,2009,74.02505695,2009
,2010,75.11751924,2010
,2011,69.32652945,2011
,2012,79.35293498,2012
,2013,79.31832379,2013
,2014,81.44868958,2014
,2015,86.51398714,2015
,2016,85.56914982,2016
KOR,1995,100,1995KOR
KOR,1996,100,1996KOR
KOR,1997,100,1997KOR
KOR,1998,100,1998KOR
KOR,1999,100,1999KOR
KOR,2000,100,2000KOR
KOR,2001,100,2001KOR
KOR,2002,100,2002KOR
KOR,2003,100,2003KOR
KOR,2004,100,2004KOR
KOR,2005,100,2005KOR
KOR,2006,100,2006KOR
KOR,2007,100,2007KOR
KOR,2008,100,2008KOR
KOR,2009,100,2009KOR
KOR,2010,100,2010KOR
KOR,2011,100,2011KOR
KOR,2012,100,2012KOR
KOR,2013,100,2013KOR
KOR,2014,100,2014KOR
KOR,2015,100,2015KOR
KOR,2016,100,2016KOR
SSD,1990,0.01,1990SSD
SSD,1991,0.01,1991SSD
SSD,1992,0.01,1992SSD
SSD,1993,0.01,1993SSD
SSD,1994,0.01,1994SSD
SSD,1995,0.01,1995SSD
SSD,1996,0.01,1996SSD
SSD,1997,0.01,1997SSD
SSD,1998,0.01,1998SSD
SSD,1999,0.01,1999SSD
SSD,2000,0.01,2000SSD
SSD,2001,0.01,2001SSD
SSD,2002,0.01,2002SSD
SSD,2003,0.01,2003SSD
SSD,2004,0.011315047,2004SSD
SSD,2005,0.033698916,2005SSD
SSD,2006,0.15520826,2006SSD
SSD,2007,0.502949536,2007SSD
SSD,2008,1.021752357,2008SSD
SSD,2009,3,2009SSD
SSD,2010,1.5,2010SSD
SSD,2011,3.918669462,2011SSD
SSD,2012,4.912345409,2012SSD
SSD,2013,5.915032864,2013SSD
SSD,2014,6.923728466,2014SSD
SSD,2015,7.935427666,2015SSD
SSD,2016,8.947628021,2016SSD
ESP,1990,100,1990ESP
ESP,1991,100,1991ESP
ESP,1992,100,1992ESP
ESP,1993,100,1993ESP
ESP,1994,100,1994ESP
ESP,1995,100,1995ESP
ESP,1996,100,1996ESP
ESP,1997,100,1997ESP
ESP,1998,100,1998ESP
ESP,1999,100,1999ESP
ESP,2000,100,2000ESP
ESP,2001,100,2001ESP
ESP,2002,100,2002ESP
ESP,2003,100,2003ESP
ESP,2004,100,2004ESP
ESP,2005,100,2005ESP
ESP,2006,100,2006ESP
ESP,2007,100,2007ESP
ESP,2008,100,2008ESP
ESP,2009,100,2009ESP
ESP,2010,100,2010ESP
ESP,2011,100,2011ESP
ESP,2012,100,2012ESP
ESP,2013,100,2013ESP
ESP,2014,100,2014ESP
ESP,2015,100,2015ESP
ESP,2016,100,2016ESP
LKA,1990,52.93764114,1990LKA
LKA,1991,54.63951111,1991LKA
LKA,1992,56.34087372,1992LKA
LKA,1993,58.03917313,1993LKA
LKA,1994,59.73135757,1994LKA
LKA,1995,61.41436386,1995LKA
LKA,1996,63.0851326,1996LKA
LKA,1997,64.74060822,1997LKA
LKA,1998,66.37773132,1998LKA
LKA,1999,67.99343109,1999LKA
LKA,2000,69.58618927,2000LKA
LKA,2001,63.6,2001LKA
LKA,2002,80.7,2002LKA
LKA,2003,74.27824402,2003LKA
LKA,2004,75.8337326,2004LKA
LKA,2005,77.39506531,2005LKA
LKA,2006,78.9683075,2006LKA
LKA,2007,80,2007LKA
LKA,2008,82.17324829,2008LKA
LKA,2009,83.80799866,2009LKA
LKA,2010,85.3,2010LKA
LKA,2011,87.76,2011LKA
LKA,2012,88.80839539,2012LKA
LKA,2013,90.2,2013LKA
LKA,2014,92.19206238,2014LKA
LKA,2015,93.88990021,2015LKA
LKA,2016,95.58823395,2016LKA
,1990,15.94040034,1990
,1991,17.48061777,1991
,1992,18.36482021,1992
,1993,19.13503462,1993
,1994,19.63090439,1994
,1995,20.74824115,1995
,1996,21.16293615,1996
,1997,22.57718336,1997
,1998,23.3738426,1998
,1999,25.00966457,1999
,2000,25.56717328,2000
,2001,25.91624922,2001
,2002,27.08402342,2002
,2003,29.16735695,2003
,2004,28.90205856,2004
,2005,29.11827049,2005
,2006,30.34644797,2006
,2007,32.03764019,2007
,2008,31.95923478,2008
,2009,32.47618528,2009
,2010,32.61963393,2010
,2011,34.86591176,2011
,2012,35.73942163,2012
,2013,36.49467494,2013
,2014,37.72792678,2014
,2015,38.42566074,2015
,2016,42.79512217,2016
,1990,15.94040034,1990
,1991,17.48061777,1991
,1992,18.36482021,1992
,1993,19.13503462,1993
,1994,19.63090439,1994
,1995,20.74824115,1995
,1996,21.16293615,1996
,1997,22.57718336,1997
,1998,23.3738426,1998
,1999,25.00966457,1999
,2000,25.56717328,2000
,2001,25.91624922,2001
,2002,27.08402342,2002
,2003,29.16735695,2003
,2004,28.90205856,2004
,2005,29.11827049,2005
,2006,30.34644797,2006
,2007,32.03764019,2007
,2008,31.95923478,2008
,2009,32.47618528,2009
,2010,32.61963393,2010
,2011,34.86591176,2011
,2012,35.73942163,2012
,2013,36.49467494,2013
,2014,37.72792678,2014
,2015,38.42566074,2015
,2016,42.79512217,2016
,1990,15.93041011,1990
,1991,17.47091351,1991
,1992,18.35539095,1992
,1993,19.12570679,1993
,1994,19.62177155,1994
,1995,20.7391217,1995
,1996,21.15392246,1996
,1997,22.56851921,1997
,1998,23.36519219,1998
,1999,25.00122581,1999
,2000,25.55890397,2000
,2001,25.90818895,2001
,2002,27.07585072,2002
,2003,29.15985981,2003
,2004,28.89472036,2004
,2005,29.11108083,2005
,2006,30.33906747,2006
,2007,32.03088282,2007
,2008,31.95246151,2008
,2009,32.46957969,2009
,2010,32.61304798,2010
,2011,34.85979559,2011
,2012,35.73342208,2012
,2013,36.48883909,2013
,2014,37.72215264,2014
,2015,38.41994378,2015
,2016,42.78985454,2016
SDN,1990,32.8,1990SDN
SDN,1991,27.0560112,1991SDN
SDN,1992,27.57832146,1992SDN
SDN,1993,28.09757042,1993SDN
SDN,1994,28.61070251,1994SDN
SDN,1995,29.11465645,1995SDN
SDN,1996,29.60637474,1996SDN
SDN,1997,30.082798,1997SDN
SDN,1998,30.54086494,1998SDN
SDN,1999,30.97751999,1999SDN
SDN,2000,23,2000SDN
SDN,2001,31.78651237,2001SDN
SDN,2002,32.16945648,2002SDN
SDN,2003,32.54611969,2003SDN
SDN,2004,32.92256165,2004SDN
SDN,2005,33.3048439,2005SDN
SDN,2006,33.69903183,2006SDN
SDN,2007,34.11118698,2007SDN
SDN,2008,34.54586411,2008SDN
SDN,2009,29,2009SDN
SDN,2010,35.47529984,2010SDN
SDN,2011,35.96404648,2011SDN
SDN,2012,36.46480942,2012SDN
SDN,2013,36.97458649,2013SDN
SDN,2014,44.9,2014SDN
SDN,2015,38.00915527,2015SDN
SDN,2016,38.52844238,2016SDN
SUR,1990,100,1990SUR
SUR,1991,100,1991SUR
SUR,1992,100,1992SUR
SUR,1993,100,1993SUR
SUR,1994,99.99056244,1994SUR
SUR,1995,99.92409515,1995SUR
SUR,1996,99.71331787,1996SUR
SUR,1997,99.30543518,1997SUR
SUR,1998,98.74053955,1998SUR
SUR,1999,99.62406,1999SUR
SUR,2000,97.44142914,2000SUR
SUR,2001,96.74906921,2001SUR
SUR,2002,96.04437256,2002SUR
SUR,2003,95.33338928,2003SUR
SUR,2004,94.62218475,2004SUR
SUR,2005,93.91681671,2005SUR
SUR,2006,91.01983989,2006SUR
SUR,2007,92.54787445,2007SUR
SUR,2008,91.89490509,2008SUR
SUR,2009,91.26296234,2009SUR
SUR,2010,91.19751586,2010SUR
SUR,2011,90.05014801,2011SUR
SUR,2012,89.46326447,2012SUR
SUR,2013,88.88539124,2013SUR
SUR,2014,88.31352997,2014SUR
SUR,2015,87.74467468,2015SUR
SUR,2016,87.17631531,2016SUR
SWE,1990,100,1990SWE
SWE,1991,100,1991SWE
SWE,1992,100,1992SWE
SWE,1993,100,1993SWE
SWE,1994,100,1994SWE
SWE,1995,100,1995SWE
SWE,1996,100,1996SWE
SWE,1997,100,1997SWE
SWE,1998,100,1998SWE
SWE,1999,100,1999SWE
SWE,2000,100,2000SWE
SWE,2001,100,2001SWE
SWE,2002,100,2002SWE
SWE,2003,100,2003SWE
SWE,2004,100,2004SWE
SWE,2005,100,2005SWE
SWE,2006,100,2006SWE
SWE,2007,100,2007SWE
SWE,2008,100,2008SWE
SWE,2009,100,2009SWE
SWE,2010,100,2010SWE
SWE,2011,100,2011SWE
SWE,2012,100,2012SWE
SWE,2013,100,2013SWE
SWE,2014,100,2014SWE
SWE,2015,100,2015SWE
SWE,2016,100,2016SWE
CHE,1990,100,1990CHE
CHE,1991,100,1991CHE
CHE,1992,100,1992CHE
CHE,1993,100,1993CHE
CHE,1994,100,1994CHE
CHE,1995,100,1995CHE
CHE,1996,100,1996CHE
CHE,1997,100,1997CHE
CHE,1998,100,1998CHE
CHE,1999,100,1999CHE
CHE,2000,100,2000CHE
CHE,2001,100,2001CHE
CHE,2002,100,2002CHE
CHE,2003,100,2003CHE
CHE,2004,100,2004CHE
CHE,2005,100,2005CHE
CHE,2006,100,2006CHE
CHE,2007,100,2007CHE
CHE,2008,100,2008CHE
CHE,2009,100,2009CHE
CHE,2010,100,2010CHE
CHE,2011,100,2011CHE
CHE,2012,100,2012CHE
CHE,2013,100,2013CHE
CHE,2014,100,2014CHE
CHE,2015,100,2015CHE
CHE,2016,100,2016CHE
,1990,80.54584503,1990
,1991,81.38981628,1991
,1992,82.233284,1992
,1993,83.07369232,1993
,1994,83.90798187,1994
,1995,84.73309326,1995
,1996,85.5459671,1996
,1997,86.34354401,1997
,1998,87.12277222,1998
,1999,87.88058472,1999
,2000,88.61544037,2000
,2001,89.33189392,2001
,2002,86.6,2002
,2003,90.73381042,2003
,2004,91.43141174,2004
,2005,92.13484955,2005
,2006,99.5057574,2006
,2007,93.58350372,2007
,2008,94.33934021,2008
,2009,95.11620331,2009
,2010,92.7,2010
,2011,96.72099304,2011
,2012,97.54291534,2012
,2013,98.35968018,2013
,2014,99.09065247,2014
,2015,99.63652039,2015
,2016,100,2016
TJK,1990,96.6034317,1990TJK
TJK,1991,96.82150269,1991TJK
TJK,1992,97.0390625,1992TJK
TJK,1993,97.25356293,1993TJK
TJK,1994,97.46195221,1994TJK
TJK,1995,97.6611557,1995TJK
TJK,1996,97.84812164,1996TJK
TJK,1997,98.00605774,1997TJK
TJK,1998,98.15739441,1998TJK
TJK,1999,97,1999TJK
TJK,2000,98.46774194,2000TJK
TJK,2001,98.49528503,2001TJK
TJK,2002,99,2002TJK
TJK,2003,100,2003TJK
TJK,2004,98.73070526,2004TJK
TJK,2005,99.3,2005TJK
TJK,2006,98.90644836,2006TJK
TJK,2007,99.01660919,2007TJK
TJK,2008,99.14608002,2008TJK
TJK,2009,99,2009TJK
TJK,2010,99.46128082,2010TJK
TJK,2011,99.63639069,2011TJK
TJK,2012,99.1,2012TJK
TJK,2013,99.91744995,2013TJK
TJK,2014,99.97840881,2014TJK
TJK,2015,99.9973526,2015TJK
TJK,2016,100,2016TJK
TZA,1990,2.483708858,1990TZA
TZA,1991,3.234415293,1991TZA
TZA,1992,6.8,1992TZA
TZA,1993,4.731749058,1993TZA
TZA,1994,5.47276783,1994TZA
TZA,1995,6.204609871,1995TZA
TZA,1996,9.4,1996TZA
TZA,1997,7.62852478,1997TZA
TZA,1998,8.314479828,1998TZA
TZA,1999,8,1999TZA
TZA,2000,9.620610237,2000TZA
TZA,2001,10.24378967,2001TZA
TZA,2002,10.85462189,2002TZA
TZA,2003,11.1,2003TZA
TZA,2004,11.4,2004TZA
TZA,2005,12.67366886,2005TZA
TZA,2006,13.2957449,2006TZA
TZA,2007,13.93578815,2007TZA
TZA,2008,11.5,2008TZA
TZA,2009,11.2,2009TZA
TZA,2010,14.8,2010TZA
TZA,2011,14.2,2011TZA
TZA,2012,15.3,2012TZA
TZA,2013,16.4,2013TZA
TZA,2014,18.91017914,2014TZA
TZA,2015,18.5,2015TZA
TZA,2016,32.8,2016TZA
THA,1990,75.89871216,1990THA
THA,1991,77.06542206,1991THA
THA,1992,78.23162079,1992THA
THA,1993,79.39476013,1993THA
THA,1994,80.55178833,1994THA
THA,1995,81.69963074,1995THA
THA,1996,82.8352356,1996THA
THA,1997,83.95555115,1997THA
THA,1998,85.05751038,1998THA
THA,1999,86.13805389,1999THA
THA,2000,82.1,2000THA
THA,2001,88.23482513,2001THA
THA,2002,89.26166534,2002THA
THA,2003,90.2822113,2003THA
THA,2004,91.30254364,2004THA
THA,2005,92.32872009,2005THA
THA,2006,99.14620148,2006THA
THA,2007,94.42284393,2007THA
THA,2008,95.50141144,2008THA
THA,2009,98.96,2009THA
THA,2010,99.7,2010THA
THA,2011,98.71641541,2011THA
THA,2012,99.10862355,2012THA
THA,2013,99.85569763,2013THA
THA,2014,99.98166656,2014THA
THA,2015,99.6,2015THA
THA,2016,100,2016THA
