Code,Year,Geothermal Capacity,IDGEOT
FRA,2004,0,2004FRA
FRA,2005,0,2005FRA
FRA,2006,0,2006FRA
FRA,2007,0,2007FRA
FRA,2008,0,2008FRA
FRA,2009,0,2009FRA
FRA,2010,0,2010FRA
FRA,2011,16.3,2011FRA
FRA,2012,15.3,2012FRA
FRA,2013,16.3,2013FRA
FRA,2014,16.3,2014FRA
FRA,2015,16.3,2015FRA
FRA,2016,15.51,2016FRA
FRA,2017,15.9,2017FRA
FRA,2018,15.9,2018FRA
FRA,2019,15.9,2019FRA
DEU,1990,0,1990DEU
DEU,1995,0,1995DEU
DEU,2000,0,2000DEU
DEU,2001,0,2001DEU
DEU,2002,0,2002DEU
DEU,2003,0,2003DEU
DEU,2004,0.2,2004DEU
DEU,2005,0.2,2005DEU
DEU,2006,0.2,2006DEU
DEU,2007,3,2007DEU
DEU,2008,3,2008DEU
DEU,2009,8,2009DEU
DEU,2010,8,2010DEU
DEU,2011,8,2011DEU
DEU,2012,12,2012DEU
DEU,2013,24,2013DEU
DEU,2014,29,2014DEU
DEU,2015,29,2015DEU
DEU,2016,33,2016DEU
DEU,2017,32,2017DEU
DEU,2018,36,2018DEU
DEU,2019,42,2019DEU
GTM,1990,0,1990GTM
GTM,1995,0,1995GTM
GTM,2000,29,2000GTM
GTM,2001,29,2001GTM
GTM,2002,29,2002GTM
GTM,2003,29,2003GTM
GTM,2004,29,2004GTM
GTM,2005,29,2005GTM
GTM,2006,54.2,2006GTM
GTM,2007,54.2,2007GTM
GTM,2008,54.2,2008GTM
GTM,2009,54.2,2009GTM
GTM,2010,54.2,2010GTM
GTM,2011,54.2,2011GTM
GTM,2012,54.2,2012GTM
GTM,2013,49.2,2013GTM
GTM,2014,49.2,2014GTM
GTM,2015,49.2,2015GTM
GTM,2016,49.2,2016GTM
GTM,2017,49.2,2017GTM
GTM,2018,49.2,2018GTM
GTM,2019,52,2019GTM
HND,1990,0,1990HND
HND,1995,0,1995HND
HND,2000,0,2000HND
HND,2001,0,2001HND
HND,2002,0,2002HND
HND,2003,0,2003HND
HND,2004,0,2004HND
HND,2005,0,2005HND
HND,2006,0,2006HND
HND,2007,0,2007HND
HND,2008,0,2008HND
HND,2009,0,2009HND
HND,2010,0,2010HND
HND,2011,0,2011HND
HND,2012,0,2012HND
HND,2013,0,2013HND
HND,2014,0,2014HND
HND,2015,0,2015HND
HND,2016,0,2016HND
HND,2017,35,2017HND
HND,2018,35,2018HND
HND,2019,35,2019HND
ISL,1990,44.8,1990ISL
ISL,1995,49.6,1995ISL
ISL,2000,172,2000ISL
ISL,2001,202,2001ISL
ISL,2002,202,2002ISL
ISL,2003,202,2003ISL
ISL,2004,202,2004ISL
ISL,2005,232,2005ISL
ISL,2006,422,2006ISL
ISL,2007,485,2007ISL
ISL,2008,575,2008ISL
ISL,2009,575,2009ISL
ISL,2010,575,2010ISL
ISL,2011,665,2011ISL
ISL,2012,665,2012ISL
ISL,2013,665,2013ISL
ISL,2014,665,2014ISL
ISL,2015,665,2015ISL
ISL,2016,663,2016ISL
ISL,2017,708,2017ISL
ISL,2018,753,2018ISL
ISL,2019,753,2019ISL
IDN,2000,525,2000IDN
IDN,2001,785,2001IDN
IDN,2002,785,2002IDN
IDN,2003,805,2003IDN
IDN,2004,820,2004IDN
IDN,2005,850,2005IDN
IDN,2006,850,2006IDN
IDN,2007,980,2007IDN
IDN,2008,1052,2008IDN
IDN,2009,1189,2009IDN
IDN,2010,1189,2010IDN
IDN,2011,1226,2011IDN
IDN,2012,1336,2012IDN
IDN,2013,1343.5,2013IDN
IDN,2014,1403.5,2014IDN
IDN,2015,1438.5,2015IDN
IDN,2016,1643.5,2016IDN
IDN,2017,1808.5,2017IDN
IDN,2018,1945.5,2018IDN
IDN,2019,2130.5,2019IDN
ITA,1990,545,1990ITA
ITA,1995,631.7,1995ITA
ITA,2000,590,2000ITA
ITA,2001,573,2001ITA
ITA,2002,666,2002ITA
ITA,2003,707,2003ITA
ITA,2004,642,2004ITA
ITA,2005,671,2005ITA
ITA,2006,671,2006ITA
ITA,2007,671,2007ITA
ITA,2008,671,2008ITA
ITA,2009,695,2009ITA
ITA,2010,728,2010ITA
ITA,2011,728,2011ITA
ITA,2012,728,2012ITA
