Code,Year,Biofuels Production - PJ - Total,IDBfuelP
USA,1998,119.5353409,1998USA
USA,1999,124.6379167,1999USA
USA,2000,138.0232449,2000USA
USA,2001,151.2444796,2001USA
USA,2002,183.3839819,2002USA
USA,2003,240.3624372,2003USA
USA,2004,293.125738,2004USA
USA,2005,343.4836454,2005USA
USA,2006,446.7512751,2006USA
USA,2007,615.8250609,2007USA
USA,2008,876.4554279,2008USA
USA,2009,994.8266091,2009USA
USA,2010,1174.140832,2010USA
USA,2011,1305.600503,2011USA
USA,2012,1247.993074,2012USA
USA,2013,1300.297082,2013USA
USA,2014,1377.055896,2014USA
USA,2015,1417.172201,2015USA
USA,2016,1506.65421,2016USA
USA,2017,1554.641571,2017USA
USA,2018,1600.431652,2018USA
USA,2019,1557.063399,2019USA
OWID_WRL,1990,326.0324888,1990OWID_WRL
OWID_WRL,1991,366.2999347,1991OWID_WRL
OWID_WRL,1992,352.038195,1992OWID_WRL
OWID_WRL,1993,358.6058015,1993OWID_WRL
OWID_WRL,1994,398.2522796,1994OWID_WRL
OWID_WRL,1995,412.9806269,1995OWID_WRL
OWID_WRL,1996,415.4162079,1996OWID_WRL
OWID_WRL,1997,476.3444578,1997OWID_WRL
OWID_WRL,1998,454.3502857,1998OWID_WRL
OWID_WRL,1999,438.3667242,1999OWID_WRL
OWID_WRL,2000,418.3028996,2000OWID_WRL
OWID_WRL,2001,456.2935565,2001OWID_WRL
OWID_WRL,2002,538.1050277,2002OWID_WRL
OWID_WRL,2003,666.0415732,2003OWID_WRL
OWID_WRL,2004,753.7728035,2004OWID_WRL
OWID_WRL,2005,884.5297227,2005OWID_WRL
OWID_WRL,2006,1125.296493,2006OWID_WRL
OWID_WRL,2007,1527.388,2007OWID_WRL
OWID_WRL,2008,2067.221318,2008OWID_WRL
OWID_WRL,2009,2288.703592,2009OWID_WRL
OWID_WRL,2010,2642.063936,2010OWID_WRL
OWID_WRL,2011,2791.787725,2011OWID_WRL
OWID_WRL,2012,2839.017474,2012OWID_WRL
OWID_WRL,2013,3083.761288,2013OWID_WRL
OWID_WRL,2014,3360.487999,2014OWID_WRL
OWID_WRL,2015,3374.355102,2015OWID_WRL
OWID_WRL,2016,3493.323055,2016OWID_WRL
OWID_WRL,2017,3643.814193,2017OWID_WRL
OWID_WRL,2018,3992.266217,2018OWID_WRL
OWID_WRL,2019,4113.090945,2019OWID_WRL
