,Country,IDCode,latitude,longitude
137,Middle East & North Africa,MEA,42.708678,19.37439
138,Mexico,MEX,-18.766947,46.869107
139,Marshall Islands,MHL,7.131474,171.184478
140,Middle income,MIC,41.608635,21.745275
141,North Macedonia,MKD,17.570692,-3.996166
142,Mali,MLI,21.913965,95.956223
143,Malta,MLT,46.862496,103.846656
144,Myanmar,MMR,22.198745,113.543873
145,Middle East & North Africa (excluding high income),MNA,17.33083,145.38469
146,Montenegro,MNE,14.641528,-61.024174
147,Mongolia,MNG,21.00789,-10.940835
148,Northern Mariana Islands,MNP,16.742498,-62.187366
149,Mozambique,MOZ,35.937496,14.375416
150,Mauritania,MRT,-20.348404,57.552152
151,Mauritius,MUS,3.202778,73.22068
152,Malawi,MWI,-13.254308,34.301525
153,Malaysia,MYS,23.634501,-102.552784
154,North America,NAC,4.210484,101.975766
155,Namibia,NAM,-18.665695,35.529562
156,Niger,NER,-22.95764,18.49041
157,Nigeria,NGA,-20.904305,165.618042
158,Nicaragua,NIC,17.607789,8.081666
159,Netherlands,NLD,-29.040835,167.954712
160,Norway,NOR,9.081999,8.675277
161,Nepal,NPL,12.865416,-85.207229
162,New Zealand,NZL,52.132633,5.291266
163,OECD members,OED,60.472024,8.468946
164,Oman,OMN,28.394857,84.124008
165,Other small states,OSS,-0.522778,166.931503
166,Pakistan,PAK,-19.054445,-169.867233
167,Panama,PAN,-40.900557,174.885971
168,Peru,PER,21.512583,55.923255
169,Philippines,PHL,8.537981,-80.782127
170,Papua New Guinea,PNG,-9.189967,-75.015152
171,Poland,POL,-17.679742,-149.406843
172,Pre-demographic dividend,PRE,-6.314993,143.95555
173,Puerto Rico,PRI,12.879721,121.774017
174,"Korea, Dem. People’s Rep.",PRK,30.375321,69.345116
175,Portugal,PRT,51.919438,19.145136
176,Paraguay,PRY,46.941936,-56.27111
177,West Bank and Gaza,PSE,-24.703615,-127.439308
178,Pacific island small states,PSS,18.220833,-66.590149
179,Post-demographic dividend,PST,31.952162,35.233154
180,Qatar,QAT,39.399872,-8.224454
181,Romania,ROU,7.51498,134.58252
182,Russian Federation,RUS,-23.442503,-58.443832
183,Rwanda,RWA,25.354826,51.183884
184,South Asia,SAS,-21.115141,55.536384
185,Saudi Arabia,SAU,45.943161,24.96676
186,Sudan,SDN,44.016521,21.005859
187,Senegal,SEN,61.52401,105.318756
188,Singapore,SGP,-1.940278,29.873888
189,Solomon Islands,SLB,23.885942,45.079162
190,Sierra Leone,SLE,-9.64571,160.156194
191,El Salvador,SLV,-4.679574,55.491977
192,Somalia,SOM,12.862807,30.217636
193,Serbia,SRB,60.128161,18.643501
194,Sub-Saharan Africa (excluding high income),SSA,1.352083,103.819836
195,South Sudan,SSD,-24.143474,-10.030696
196,Sub-Saharan Africa,SSF,46.151241,14.995463
197,Small states,SST,77.553604,23.670272
198,Sao Tome and Principe,STP,48.669026,19.699024
199,Suriname,SUR,8.460555,-11.779889
200,Slovak Republic,SVK,43.94236,12.457777
201,Slovenia,SVN,14.497401,-14.452362
202,Sweden,SWE,5.152149,46.199616
203,Eswatini,SWZ,3.919305,-56.027783
204,Seychelles,SYC,0.18636,6.613081
205,Syrian Arab Republic,SYR,13.794185,-88.89653
206,Chad,TCD,34.802075,38.996815
207,East Asia & Pacific (IDA & IBRD countries),TEA,-26.522503,31.465866
208,Europe & Central Asia (IDA & IBRD countries),TEC,21.694025,-71.797928
209,Togo,TGO,15.454166,18.732207
210,Thailand,THA,-49.280366,69.348557
211,Tajikistan,TJK,8.619543,0.824782
212,Turkmenistan,TKM,15.870032,100.992541
213,Latin America & the Caribbean (IDA & IBRD countries),TLA,38.861034,71.276093
214,Timor-Leste,TLS,-8.967363,-171.855881
215,Middle East & North Africa (IDA & IBRD countries),TMN,-8.874217,125.727539
216,Tonga,TON,38.969719,59.556278
217,South Asia (IDA & IBRD),TSA,33.886917,9.537499
218,Sub-Saharan Africa (IDA & IBRD countries),TSS,-21.178986,-175.198242
219,Trinidad and Tobago,TTO,38.963745,35.243322
220,Tunisia,TUN,10.691803,-61.222503
221,Turkey,TUR,-7.109535,177.64933
222,Tanzania,TZA,23.69781,120.960515
223,Uganda,UGA,-6.369028,34.888822
224,Ukraine,UKR,48.379433,31.16558
225,Upper middle income,UMC,1.373333,32.290275
227,United States,USA,37.09024,-95.712891
228,Uzbekistan,UZB,-32.522779,-55.765835
229,St. Vincent and the Grenadines,VCT,41.377491,64.585262
231,Virgin Islands (U.S.),VIR,12.984305,-61.287228
233,Vanuatu,VUT,18.420695,-64.639968
238,Zambia,ZMB,-13.759029,-172.104629
239,Zimbabwe,ZWE,42.602636,20.902977
