Code,Year,ValPol,IDO
BIH,2010,32.30015609,2010BIH
BIH,2011,34.19186648,2011BIH
BIH,2012,31.77325971,2012BIH
BIH,2013,30.44623075,2013BIH
BIH,2014,28.77732513,2014BIH
BIH,2015,29.62283839,2015BIH
BIH,2016,27.59446709,2016BIH
BIH,2017,27.74766896,2017BIH
BLR,2010,23.31940958,2010BLR
BLR,2011,22.91114578,2011BLR
BLR,2012,21.64637226,2012BLR
BLR,2013,20.59045954,2013BLR
BLR,2014,19.76605366,2014BLR
BLR,2015,20.07627636,2015BLR
BLR,2016,18.87823952,2016BLR
BLR,2017,18.76557991,2017BLR
BLZ,2010,28.2730542,2010BLZ
BLZ,2011,28.80044628,2011BLZ
BLZ,2012,27.40912213,2012BLZ
BLZ,2013,27.28443966,2013BLZ
BLZ,2014,24.42114809,2014BLZ
BLZ,2015,25.21682566,2015BLZ
BLZ,2016,23.06568424,2016BLZ
BLZ,2017,23.01189211,2017BLZ
BMU,2010,14.64738151,2010BMU
BMU,2011,14.84311292,2011BMU
BMU,2012,13.97908263,2012BMU
BMU,2013,13.47885095,2013BMU
BMU,2014,12.80641477,2014BMU
BMU,2015,12.41796108,2015BMU
BMU,2016,11.65994362,2016BMU
BMU,2017,11.64635919,2017BMU
BOL,2010,29.5728099,2010BOL
BOL,2011,27.90420439,2011BOL
BOL,2012,26.39024388,2012BOL
BOL,2013,26.09046897,2013BOL
BOL,2014,24.81882932,2014BOL
BOL,2015,22.47639992,2015BOL
BOL,2016,21.3866041,2016BOL
BOL,2017,21.5689866,2017BOL
BRA,2010,15.95528506,2010BRA
BRA,2011,15.91279799,2011BRA
BRA,2012,15.28545576,2012BRA
BRA,2013,14.60990092,2013BRA
BRA,2014,13.98993477,2014BRA
BRA,2015,13.59465562,2015BRA
BRA,2016,12.65867601,2016BRA
BRA,2017,12.70662947,2017BRA
BRB,2010,28.21681441,2010BRB
BRB,2011,29.30348967,2011BRB
BRB,2012,27.03352956,2012BRB
BRB,2013,26.23023054,2013BRB
BRB,2014,25.18301447,2014BRB
BRB,2015,24.68624082,2015BRB
BRB,2016,23.45919984,2016BRB
BRB,2017,23.0801758,2017BRB
BRN,2010,7.417004403,2010BRN
BRN,2011,7.366187122,2011BRN
BRN,2012,7.570822949,2012BRN
BRN,2013,6.709489683,2013BRN
BRN,2014,6.180830115,2014BRN
BRN,2015,6.484179774,2015BRN
BRN,2016,5.927600072,2016BRN
BRN,2017,5.903065468,2017BRN
BTN,2010,43.96188317,2010BTN
BTN,2011,43.07170329,2011BTN
BTN,2012,42.93227289,2012BTN
