GDP per capita,Fertility,Life expectancy,Median age,IDCode_SO
1715,4.7,57.6,17.3,SSD
43007,1.3,83.4,42.7,ESP
14509,2.2,76.8,32.8,LKA
3986,4.4,65.1,19.9,SDN
16044,2.4,71.6,29.8,SUR
55989,1.8,82.7,41.2,SWE
67558,1.5,,42.4,CHE
57214,,,40.7,TWN
3751,3.6,70.9,24.5,TJK
3652,4.9,65,17.7,TZA
21361,1.5,76.9,37.7,THA
33432,1.8,73.8,32,BHS
2892,5.2,61.7,21,GMB
1913,4.3,60.8,19.8,TGO
6867,3.6,70.8,23,TON
33713,1.7,73.4,36,TTO
13093,2.2,76.5,31.6,TUN
29327,2.1,78.3,30.9,TUR
21855,2.8,68.1,27.9,TKM
4535,,,25.7,TUV
2753,5,63,15.8,UGA
10130,1.3,72,40.6,UKR
70441,1.4,77.8,30.3,ARE
48169,1.7,81.2,40.5,GBR
67426,1.7,78.9,38.1,USA
24516,2,77.8,35,URY
9595,2.4,71.5,28.6,UZB
3039,3.8,70.3,22,VUT
16055,2.3,72.1,28.3,VEN
8677,2,75.3,30.5,VNM
2312,3.8,66.1,19.5,YEM
4174,4.6,63.5,16.8,ZMB
2778,3.6,61.2,20,ZWE
